,r,fci_E
0,1.0,-7.618560726568565
1,1.25,-7.687964305087464
2,1.546,-7.714848193869426
3,1.75,-7.718596681248091
4,2.0,-7.716596934478756
5,2.25,-7.712166718466527
6,2.5,-7.707730315882821
7,2.75,-7.704164987812929
8,3.0,-7.701602366607511
9,3.25,-7.69988204450245
