,r,E,fci_E,error,n_iters
0,0.75,-15.0387096504606,-15.0387230301579,1.33796973003086E-05,47
1,1,-15.4817367968566,-15.4817410699308,4.27307420025613E-06,59
2,1.316,-15.5952222439623,-15.5952465857207,2.43417584009364E-05,55
3,1.5,-15.5760296329565,-15.5760512451017,2.16121452094598E-05,68
4,1.75,-15.5154740580602,-15.5154866845626,1.26265023752126E-05,70
5,2,-15.4460747148382,-15.4460937401929,1.90253547387442E-05,65
6,2.25,-15.3874378412063,-15.3874440222241,6.18101777227764E-06,80
7,2.5,-15.3518330587381,-15.3518343134603,1.254722194588E-06,95
8,2.75,-15.3392663650144,-15.3392717900894,5.42507498302314E-06,81
9,3,-15.3367310230694,-15.3368042360769,7.32130075000725E-05,44
10,3.25,-15.3365229851896,-15.3366136162104,9.06310208002026E-05,45
