,r,E,fci_E,error,n_iters
0,0.75,-14.7627758597303,-14.7627819745555,6.11E-06,31
1,1,-15.1935414019638,-15.1935518805213,1.05E-05,31
2,1.316,-15.3315803062721,-15.3315920741984,1.18E-05,34
3,1.5,-15.3331184649689,-15.3342690397907,0.001150574821789,40
4,1.75,-15.3056011243888,-15.3130870195644,0.007485895175616,38
5,2,-15.326294515806,-15.3263019285291,7.41E-06,32
6,2.25,-15.3321205878916,-15.332125440995,4.85E-06,31
7,2.5,-15.3338458876841,-15.3338510357976,5.15E-06,28
8,2.75,-15.3349783204137,-15.3349847456202,6.43E-06,24
9,3,-15.3358654831697,-15.335868738185,3.26E-06,27
