,r,fci_E
0,0.75,-14.762781974555796
1,0.8625,-15.010882260212185
2,0.975,-15.168525220223781
3,1.0875,-15.259996277396766
4,1.2,-15.30916945745664
5,1.3125,-15.326572716141662
6,1.425,-15.334955984002692
7,1.5375,-15.330367776693272
8,1.65,-15.31859640610602
9,1.7625,-15.307505437694903
10,1.875,-15.298092240077674
11,1.9875,-15.284604073207754
12,2.1,-15.272087964548396
13,2.2125,-15.261071165013938
14,2.325,-15.251774067500591
15,2.4375,-15.245088446960917
16,2.55,-15.240629505779099
17,2.6625,-15.236470524500763
18,2.775,-15.232832724721456
19,2.8875,-15.229797212938523
20,3.0,-15.227352420551627
