,r,E,fci_E,error,n_iters
0,1,-7.78445402300403,-7.78446028026705,6.25726302327934E-06,22
1,1.25,-7.86185397147718,-7.86186144064564,7.46916846239287E-06,21
2,1.546,-7.88275664234338,-7.88276184874591,5.20640252954507E-06,18
3,1.75,-7.87717608029686,-7.87718700226372,1.09219668580351E-05,18
4,2,-7.86106867477657,-7.8610877724111,1.90976345333382E-05,21
5,2.25,-7.84178834216356,-7.84181785937682,2.95172132585009E-05,20
6,2.5,-7.82369948621793,-7.82372388338938,2.43971714475322E-05,22
7,2.75,-7.80912104346969,-7.80916229761057,4.12541408794098E-05,27
8,3,-7.79883938274772,-7.79884315945517,3.7767074516637E-06,27
9,3.25,-7.79216078678492,-7.79218447197325,2.36851883332889E-05,28
10,3.5,-7.78808958711192,-7.78811512326022,2.5536148291927E-05,29
