,r,fci_E
0,0.75,-14.748475950427
1,0.8625,-15.0078455168092
2,0.975,-15.1541754564659
3,1.0875,-15.2483427603403
4,1.2,-15.3009655507656
5,1.3125,-15.3265727161423
6,1.425,-15.334955984003
7,1.5,-15.33313437772
8,1.5375,-15.3303677766933
9,1.65,-15.3185964061053
10,1.75,-15.3056116490524
11,1.7625,-15.3039116963905
12,1.875,-15.2885337203534
13,1.9875,-15.2739947186778
14,2.1,-15.2612504361554
15,2.2125,-15.2530567106753
16,2.325,-15.2494403927617
17,2.4375,-15.245088446962
18,2.55,-15.2406295057801
19,2.6625,-15.2364705245028
20,2.775,-15.2328327247234
21,2.8875,-15.2297972129398
22,3,-15.2273524205562
