,r,E,fci_E,error,n_iters
0,0.5,-2.22508150997312,-2.22510618779691,2.47E-05,89
1,0.75,-3.15528002618106,-3.15530480091475,2.48E-05,147
2,1,-3.23596718989792,-3.23606627977584,9.91E-05,124
3,1.25,-3.12498399661856,-3.12498672400297,2.73E-06,184
4,1.5,-2.99556482907595,-2.99556542550464,5.96E-07,189
5,1.75,-2.9012982926484,-2.90130015023143,1.86E-06,188
6,2,-2.84719183580652,-2.8471921338124,2.98E-07,191
7,2.25,-2.82051259951485,-2.82051436885491,1.77E-06,188
8,2.5,-2.80842731446223,-2.80842740059971,8.61E-08,194
9,2.75,-2.80317584696962,-2.8031758938708,4.69E-08,195
10,3,-2.80042674277245,-2.80095889964658,0.000532156874125,40
