,r,fci_E
0,0.75,-14.7627819745557
1,0.8625,-15.0108822602125
2,0.975,-15.1685252202243
3,1.0875,-15.2599962773975
4,1.2,-15.3091694574568
5,1.3125,-15.3312229810565
6,1.425,-15.3360809654489
7,1.5,-15.3342690397914
8,1.5375,-15.3325875505904
9,1.65,-15.3238204076176
10,1.75,-15.313087019564
11,1.7625,-15.311634693314
12,1.875,-15.3189052379283
13,1.9875,-15.3257510633755
14,2.1,-15.3296061431561
15,2.2125,-15.3316757978415
16,2.325,-15.3328083353833
17,2.4375,-15.3335260845704
18,2.55,-15.3340939574749
19,2.6625,-15.3346096751837
20,2.775,-15.3350868331694
21,2.8875,-15.3355111993343
22,3,-15.3358687381849
