,r,E,fci_E,error,n_iters
0,0.75,-15.0378516961721,-15.0387230301579,0.000871333985808,48
1,1,-15.4817297667346,-15.4817410699308,1.13031962083454E-05,46
2,1.25,-15.5914519987068,-15.5917707427931,0.000318744086284,35
3,1.5,-15.575533524246,-15.5760512451017,0.000517720855726,35
4,1.75,-15.5148064696847,-15.5154866845626,0.000680214877928,36
5,2,-15.4455826940193,-15.4460937401929,0.000511046173616,41
6,2.25,-15.3868515015632,-15.3874440222241,0.000592520660829,41
7,2.5,-15.3516218434882,-15.3518343134603,0.000212469972148,42
8,2.75,-15.3391615498664,-15.3392717900894,0.000110240223014,43
9,3,-15.3367310230694,-15.3368042360769,7.32130075338233E-05,44
10,3.25,-15.3365229851896,-15.3366136162104,9.06310208002026E-05,45
