,r,fci_E
0,0.75,-14.7627819745555
1,0.8625,-15.0108822602123
2,0.975,-15.1685252202242
3,1.0875,-15.2599962773972
4,1.2,-15.3091694574572
5,1.3125,-15.3312229810562
6,1.425,-15.3360809654486
7,1.5,-15.3342690397904
8,1.5375,-15.3325875505903
9,1.65,-15.3238204076173
10,1.75,-15.313087019564
11,1.7625,-15.3116346933138
12,1.875,-15.3189052379282
13,1.9875,-15.3257510633756
14,2.1,-15.3296061431562
15,2.2125,-15.3316757978415
16,2.325,-15.332808335383
17,2.4375,-15.3335260845698
18,2.55,-15.3340939574745
19,2.6625,-15.334609675184
20,2.775,-15.3350868331695
21,2.8875,-15.3355111993341
22,3,-15.3358687381847
