,r,fci_E
0,0.75,-14.7627819745556
1,0.8625,-15.0108822602135
2,0.975,-15.1685252202239
3,1.0875,-15.2599962773976
4,1.2,-15.3091694574573
5,1.3125,-15.3312229810571
6,1.425,-15.3360809654492
7,1.5,-15.3331343777213
8,1.5375,-15.3325875505903
9,1.65,-15.3185964061059
10,1.75,-15.3058779932219
11,1.7625,-15.3116346933145
12,1.875,-15.3189052379279
13,1.9875,-15.3257510633754
14,2.1,-15.3296061431561
15,2.2125,-15.3316757978412
16,2.325,-15.3328083353828
17,2.4375,-15.3335260845697
18,2.55,-15.3340939574743
19,2.6625,-15.3346096751839
20,2.775,-15.3350868331695
21,2.8875,-15.335511199334
22,3,-15.3358687381846
