,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
33,34,-15.595138145703714,3.3555647664940125e-06,0,0.0001084400171063038,161,422.0,1070,157,182,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0006087069272160781
34,35,-15.595139776902846,1.631199131324479e-06,0,0.00010680881797497932,102,435.0,1103,162,188,"d_q_exc_[0, 4]_[2, 12]","[[0, 4], [2, 12]]",0.00022156900720868929
35,36,-15.595141677006163,1.9001033173537962e-06,0,0.00010490871465762552,220,448.0,1136,162,188,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0027331750014356958
36,37,-15.59514276650398,1.0894978164088798e-06,0,0.00010381921684121664,86,461.0,1169,162,188,"d_q_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",0.0004265845712667965
37,38,-15.595143849889963,1.0833859835912563e-06,0,0.00010273583085762539,109,474.0,1202,162,188,"d_q_exc_[1, 5]_[3, 13]","[[1, 5], [3, 13]]",0.001759187449676
38,39,-15.595144918262164,1.0683722013737906e-06,0,0.0001016674586562516,191,487.0,1235,162,188,"d_q_exc_[0, 13]_[1, 4]","[[0, 13], [1, 4]]",0.12796161353445462
39,40,-15.595146093048921,1.174786756763524e-06,0,0.00010049267189948807,199,500.0,1268,162,188,"d_q_exc_[0, 5]_[1, 12]","[[0, 5], [1, 12]]",0.2372682433889865
40,41,-15.59514700347523,9.10426308564638e-07,0,9.958224559092343e-05,190,513.0,1301,166,194,"d_q_exc_[0, 11]_[1, 2]","[[0, 11], [1, 2]]",-0.13233011767784955
41,42,-15.595148094850474,1.0913752443997282e-06,0,9.84908703465237e-05,165,526.0,1334,177,205,"d_q_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",0.17754971177575019
42,43,-15.595148728903599,6.34053124670686e-07,0,9.785681722185302e-05,179,539.0,1367,177,205,"d_q_exc_[0, 3]_[1, 10]","[[0, 3], [1, 10]]",0.30196517346469715
43,44,-15.595151227385518,2.4984819191331553e-06,0,9.535833530271987e-05,152,552.0,1400,188,216,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.04718459795572753
44,45,-15.595187992289578,3.6764904059793935e-05,0,5.859343124292593e-05,162,565.0,1433,199,227,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.032203638940718766
