,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.690283770821078,15.247547067877619,0,0.040657529002975146,3,3.0,7,3,4,s_q_exc_3_4,"[[3], [4]]",1.5707963252754253
1,2,-7.72548605499351,0.03520228417243221,0,0.005455244830542938,34,6.0,14,3,4,s_q_exc_2_10,"[[2], [10]]",0.21724742045362708
2,3,-7.730389665984752,0.004903610991242147,0,0.0005516338393007914,7,9.0,21,6,7,s_q_exc_4_10,"[[4], [10]]",0.12039003328910736
3,4,-7.730509493860334,0.00011982787558117991,0,0.00043180596371961144,9,12.0,28,6,7,s_q_exc_1_11,"[[1], [11]]",-0.007999453886336792
4,5,-7.730626297889243,0.00011680402890945629,0,0.00031500193481015515,50,25.0,61,14,16,"d_q_exc_[1, 10]_[2, 5]","[[1, 10], [2, 5]]",0.03282686378244096
5,6,-7.730685745861407,5.9447972163617635e-05,0,0.0002555539626465375,14,38.0,94,25,26,"d_q_exc_[1, 10]_[2, 3]","[[1, 10], [2, 3]]",0.041484615703183556
6,7,-7.7307343174544565,4.857159304982872e-05,2,0.0002069823695967088,108,51.0,127,25,26,"d_q_exc_[3, 4]_[6, 7]","[[3, 4], [6, 7]]",0.8815057712861027
7,8,-7.730782210739024,4.789328456755726e-05,2,0.00015908908502915153,26,64.0,160,25,26,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",0.7842682081729315
8,9,-7.730806003224125,2.379248510120391e-05,2,0.00013529659992794763,32,77.0,193,30,32,"d_q_exc_[0, 11]_[1, 10]","[[0, 11], [1, 10]]",-0.4183531397481508
9,10,-7.73082610841438,2.0105190254859906e-05,1,0.00011519140967308772,41,90.0,226,36,42,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.00242956598717056
10,11,-7.730846089632975,1.9981218595255257e-05,0,9.521019107783246e-05,43,103.0,259,42,52,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.002501942454669723
11,12,-7.730866057045245,1.9967412269394913e-05,0,7.524277880843755e-05,88,116.0,292,53,63,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0035912182692356413
12,13,-7.730885783470632,1.9726425387389668e-05,0,5.551635342104788e-05,52,129.0,325,64,74,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.002965168523449016
13,14,-7.730900859134682,1.5075664049568616e-05,2,4.0440689371479266e-05,47,142.0,358,64,74,"d_q_exc_[3, 10]_[4, 11]","[[3, 10], [4, 11]]",-0.380027457207257
14,15,-7.730913676380512,1.2817245830021307e-05,0,2.762344354145796e-05,86,155.0,391,64,74,"d_q_exc_[0, 11]_[3, 4]","[[0, 11], [3, 4]]",0.6149147234372754
15,16,-7.730921358925705,7.682545192899681e-06,0,1.9940898348558278e-05,97,168.0,424,64,74,"d_q_exc_[2, 11]_[3, 10]","[[2, 11], [3, 10]]",-0.2605411438911265
16,17,-7.7309287032955165,7.3443698118680345e-06,1,1.2596528536690244e-05,149,181.0,457,64,74,"d_q_exc_[5, 10]_[6, 7]","[[5, 10], [6, 7]]",-0.17630890457832993
17,18,-7.730934489549835,5.78625431835178e-06,0,6.8102742183384635e-06,123,194.0,490,64,74,"d_q_exc_[0, 10]_[2, 4]","[[0, 10], [2, 4]]",-0.4102887977144819
18,19,-7.730939297293043,4.807743207990711e-06,9,2.0025310103477523e-06,132,207.0,523,64,74,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",0.38174863329829906
19,20,-7.73094056385612,1.266563077528815e-06,0,7.359679328189372e-07,174,220.0,556,66,74,"d_q_exc_[0, 11]_[3, 4]","[[0, 11], [3, 4]]",-0.7595208045114877
20,21,-7.730941020515647,4.5665952619344807e-07,0,2.7930840662548917e-07,196,233.0,589,66,74,"d_q_exc_[2, 5]_[4, 11]","[[2, 5], [4, 11]]",0.24412183073290175
