,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.722355350454482,13.705930860525765,0,0.05385593542839029,3,3.0,7,3,4,s_q_exc_3_4,"[[3], [4]]",1.570796326333202
1,2,-7.767259727329339,0.04490437687485738,0,0.008951558553532912,1,6.0,14,3,4,s_q_exc_2_10,"[[2], [10]]",0.3439585760183771
2,3,-7.775551577337676,0.00829185000833732,1,0.000659708545195592,15,9.0,21,6,8,s_q_exc_2_4,"[[2], [4]]",-0.6516952069708495
3,4,-7.775712403987429,0.00016082664975236582,0,0.0004988818954432261,11,12.0,28,6,8,s_q_exc_1_11,"[[1], [11]]",-0.009513820204320326
4,5,-7.775840717659515,0.00012831367208576694,2,0.0003705682233574592,15,15.0,35,9,11,s_q_exc_0_2,"[[0], [2]]",0.046381689599763576
5,6,-7.775888430878363,4.771321884877722e-05,3,0.000322855004508682,33,28.0,68,14,15,"d_q_exc_[0, 5]_[1, 10]","[[0, 5], [1, 10]]",-0.901502671712682
6,7,-7.775941658366525,5.3227488161944336e-05,0,0.00026962751634673765,47,41.0,101,17,20,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.8647416652450407
7,8,-7.775994109125552,5.2450759026712035e-05,0,0.00021717675732002562,46,54.0,134,17,20,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",0.8177286873151856
8,9,-7.77603548059986,4.137147430771648e-05,0,0.00017580528301230913,63,67.0,167,23,27,"d_q_exc_[3, 4]_[10, 11]","[[3, 4], [10, 11]]",2.1070916573907135
9,10,-7.776061073392741,2.559279288139038e-05,0,0.00015021249013091875,58,80.0,200,28,33,"d_q_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",-0.010325860662337248
10,11,-7.77608258268685,2.150929410849045e-05,0,0.0001287031960224283,75,93.0,233,36,37,"d_q_exc_[0, 11]_[3, 10]","[[0, 11], [3, 10]]",0.2883844124187536
11,12,-7.776103478616379,2.0895929529807233e-05,0,0.00010780726649262107,88,106.0,266,36,37,"d_q_exc_[2, 11]_[5, 10]","[[2, 11], [5, 10]]",0.2694604665827152
12,13,-7.776123607111876,2.0128495496152254e-05,0,8.767877099646881e-05,77,119.0,299,47,48,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.002229078006519057
13,14,-7.77614361177495,2.0004663074502105e-05,0,6.767410792196671e-05,76,132.0,332,58,59,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0024302801191081894
14,15,-7.776160127168499,1.6515393548743873e-05,1,5.1158714373222836e-05,95,145.0,365,58,59,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0027751948988638873
15,16,-7.776176432687625,1.630551912601419e-05,0,3.4853195247208646e-05,132,158.0,398,58,62,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.002790578284969958
16,17,-7.77619233905037,1.5906362745177205e-05,0,1.894683250203144e-05,109,161.0,405,58,62,s_q_exc_3_5,"[[3], [5]]",-0.5721211704613233
17,18,-7.776201328895429,8.98984505859346e-06,8,9.956987443437981e-06,140,174.0,438,58,62,"d_q_exc_[5, 10]_[8, 9]","[[5, 10], [8, 9]]",-0.3411557222012816
18,19,-7.776209060458039,7.731562610580056e-06,0,2.225424832857925e-06,191,187.0,471,69,70,"d_q_exc_[0, 10]_[2, 4]","[[0, 10], [2, 4]]",-0.6247350027395587
19,20,-7.77621026187189,1.201413851070754e-06,8,1.0240109817871712e-06,159,200.0,504,69,70,"d_q_exc_[3, 10]_[8, 9]","[[3, 10], [8, 9]]",0.10296861389610032
