,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.617734474289469,12.170620102631855,0,0.11565469280135332,3,3.0,7,3,4,s_q_exc_2_7,"[[2], [7]]",-1.57079632549256
1,2,-7.667040592862549,0.04930611857308076,0,0.06634857422827256,39,6.0,14,3,4,s_q_exc_3_11,"[[3], [11]]",0.3975429431663702
2,3,-7.703639547531051,0.03659895466850127,0,0.02974961955977129,9,9.0,21,6,8,s_q_exc_3_5,"[[3], [5]]",-0.32746910580639554
3,4,-7.703787137432074,0.00014758990102325953,0,0.02960202965874803,8,12.0,28,9,11,s_q_exc_1_3,"[[1], [3]]",-0.0251594303800315
4,5,-7.70389508775113,0.00010795031905619368,0,0.029494079339691837,9,25.0,61,11,14,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.003625995363961248
5,6,-7.70396890815957,7.382040844028381e-05,1,0.029420258931251553,61,38.0,94,22,22,"d_q_exc_[0, 7]_[1, 6]","[[0, 7], [1, 6]]",-0.7092054011279723
6,7,-7.704024579473187,5.5671313616834084e-05,1,0.02936458761763472,38,51.0,127,25,31,"d_q_exc_[1, 6]_[2, 7]","[[1, 6], [2, 7]]",-0.323298433553195
7,8,-7.704054814564784,3.0235091596608754e-05,0,0.02933435252603811,53,64.0,160,25,31,"d_q_exc_[6, 11]_[7, 10]","[[6, 11], [7, 10]]",0.9849232711281549
8,9,-7.704081835717675,2.702115289121565e-05,0,0.029307331373146894,53,77.0,193,33,41,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0026994055996203904
9,10,-7.704098620059966,1.6784342291131793e-05,0,0.029290547030855763,36,90.0,226,44,51,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.002368921850333778
10,11,-7.704114411843575,1.57917836087762e-05,1,0.029274755247246986,58,103.0,259,55,61,"d_q_exc_[0, 1]_[3, 4]","[[0, 1], [3, 4]]",0.003847488446113561
11,12,-7.704124813372767,1.04015291917392e-05,0,0.029264353718055247,73,116.0,292,55,61,"d_q_exc_[3, 10]_[4, 11]","[[3, 10], [4, 11]]",-0.47247376452183615
12,13,-7.704132401102033,7.587729266234078e-06,0,0.029256765988789013,56,129.0,325,66,66,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0026599462124169662
13,14,-7.704137556541468,5.155439435355902e-06,0,0.029251610549353657,142,142.0,358,77,77,"d_q_exc_[0, 5]_[1, 4]","[[0, 5], [1, 4]]",0.5258241027105708
14,15,-7.704142423043514,4.866502045786092e-06,4,0.02924674404730787,110,155.0,391,77,77,"d_q_exc_[3, 4]_[5, 10]","[[3, 4], [5, 10]]",-0.2593869111546149
15,16,-7.704149347179124,6.924135609764903e-06,8,0.029239819911698106,148,168.0,424,77,77,"d_q_exc_[4, 7]_[5, 6]","[[4, 7], [5, 6]]",-0.6354953745105697
16,17,-7.704154322677947,4.9754988236117015e-06,6,0.029234844412874494,109,181.0,457,77,78,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.7322182362573847
17,18,-7.704158466138459,4.143460511585317e-06,0,0.02923070095236291,126,194.0,490,77,89,"d_q_exc_[1, 10]_[2, 5]","[[1, 10], [2, 5]]",0.3153032331866195
18,19,-7.704161400978229,2.934839770318831e-06,3,0.02922776611259259,121,207.0,523,77,89,"d_q_exc_[4, 7]_[6, 11]","[[4, 7], [6, 11]]",-0.1838280784822524
19,20,-7.704162766286082,1.3653078525521778e-06,3,0.029226400804740038,140,210.0,530,77,89,s_q_exc_4_10,"[[4], [10]]",0.118349176577624
20,21,-7.704163889010047,1.1227239653521792e-06,0,0.029225278080774686,151,223.0,563,88,89,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.0007664509524820632
21,22,-7.704164393150288,5.041402406646966e-07,5,0.02922477394053402,175,236.0,596,88,100,"d_q_exc_[1, 4]_[2, 11]","[[1, 4], [2, 11]]",0.7246687837907918
22,23,-7.704164837085072,4.439347840445862e-07,4,0.029224330005749977,196,249.0,629,92,111,"d_q_exc_[1, 10]_[2, 3]","[[1, 10], [2, 3]]",0.20589526102989972
23,24,-7.704164942038927,1.0495385538433766e-07,0,0.029224225051894592,230,262.0,662,92,111,"d_q_exc_[5, 6]_[7, 10]","[[5, 6], [7, 10]]",0.06440096992085576
24,25,-7.704164966379626,2.4340698345781675e-08,3,0.029224200711196247,259,275.0,695,92,111,"d_q_exc_[2, 5]_[3, 10]","[[2, 5], [3, 10]]",-0.02910894935067336
25,26,-7.704164980195701,1.3816075394856853e-08,0,0.02922418689512085,246,288.0,728,103,122,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",0.00013159874838872005
26,27,-7.704164984907214,4.711512957555897e-09,0,0.029224182183607894,176,301.0,761,114,133,"d_q_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",-0.023857754449795474
27,28,-7.7041649869276085,2.0203945183538963e-09,6,0.029224180163213376,195,314.0,794,114,133,"d_q_exc_[0, 11]_[5, 10]","[[0, 11], [5, 10]]",0.00017097491228068045
28,29,-7.704164987657899,7.302904947437128e-10,2,0.02922417943292288,125,327.0,827,125,144,"d_q_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",0.00623040147760825
29,30,-7.704164987776339,1.184403686238511e-10,2,0.029224179314482512,97,340.0,860,130,150,"d_q_exc_[0, 3]_[1, 2]","[[0, 3], [1, 2]]",0.0010319898992173443
30,31,-7.7041649878036775,2.7338131758369855e-11,5,0.02922417928714438,56,353.0,893,141,161,"d_q_exc_[1, 10]_[4, 5]","[[1, 10], [4, 5]]",0.0008040232543284397
31,32,-7.704164987806225,2.547295707699959e-12,0,0.029224179284597085,65,366.0,926,152,172,"d_q_exc_[1, 11]_[3, 5]","[[1, 11], [3, 5]]",-3.047153135682119e-06
32,33,-7.7041649878069975,7.72715225139109e-13,0,0.02922417928382437,9,379.0,959,152,172,"d_q_exc_[2, 5]_[3, 4]","[[2, 5], [3, 4]]",-0.00019986419846923772
