,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
65,66,-15.331591767924907,1.0336481892636584e-08,0,3.0627358427182116e-07,299,818.0,2074,284,324,"d_q_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",-0.004697135856590377
66,67,-15.331591782854218,1.4929311120681632e-08,3,2.9134427315113953e-07,367,831.0,2107,295,335,"d_q_exc_[1, 12]_[10, 13]","[[1, 12], [10, 13]]",-0.014609047709426665
67,68,-15.331591814301898,3.144768001561715e-08,0,2.598965931355224e-07,407,844.0,2140,306,346,"d_q_exc_[1, 11]_[5, 13]","[[1, 11], [5, 13]]",0.01689828511264956
68,69,-15.331591831251764,1.6949865511151074e-08,3,2.429467276243713e-07,460,857.0,2173,311,352,"d_q_exc_[0, 11]_[1, 2]","[[0, 11], [1, 2]]",-0.1926659460984866
69,70,-15.331591882113567,5.086180365765358e-08,3,1.9208492396671772e-07,497,870.0,2206,322,363,"d_q_exc_[1, 10]_[12, 13]","[[1, 10], [12, 13]]",0.001095903987271623
70,71,-15.331591894744001,1.263043358790128e-08,1,1.7945449037881644e-07,409,883.0,2239,322,363,"d_q_exc_[3, 11]_[5, 13]","[[3, 11], [5, 13]]",-0.1033222884215843
71,72,-15.3315919423104,4.7566398819753886e-08,3,1.3188809155906256e-07,448,896.0,2272,322,363,"d_q_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",-0.00952085454889796
72,73,-15.331591964713999,2.2403598975984096e-08,1,1.0948449258307846e-07,478,909.0,2305,327,369,"d_q_exc_[0, 5]_[1, 4]","[[0, 5], [1, 4]]",0.20338418090826482
73,74,-15.331591995692289,3.097829015530351e-08,0,7.850620242777495e-08,433,922.0,2338,332,375,"d_q_exc_[0, 5]_[1, 12]","[[0, 5], [1, 12]]",0.060855304775019305
74,75,-15.331592016606498,2.0914209031275277e-08,2,5.7591993396499674e-08,510,935.0,2371,343,386,"d_q_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",0.004140190765454542
75,76,-15.331592024013664,7.407166435768886e-09,0,5.018482696073079e-08,393,948.0,2404,343,386,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.018994033099048457
76,77,-15.331592027038464,3.02479996605598e-09,2,4.716002699467481e-08,422,961.0,2437,354,397,"d_q_exc_[1, 2]_[5, 12]","[[1, 2], [5, 12]]",0.0023204535446132734
77,78,-15.331592043824756,1.678629146795174e-08,2,3.037373552672307e-08,530,974.0,2470,365,408,"d_q_exc_[1, 12]_[5, 10]","[[1, 12], [5, 10]]",-0.04656313840075349
78,79,-15.33159204560691,1.7821548681240529e-09,0,2.8591580658599014e-08,413,987.0,2503,371,418,"d_q_exc_[0, 1]_[4, 13]","[[0, 1], [4, 13]]",-9.024080202209933e-06
79,80,-15.331592052746856,7.1399455237042275e-09,2,2.1451635134894786e-08,561,1000.0,2536,382,429,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0020871149153615476
80,81,-15.331592055151324,2.404467736027982e-09,1,1.9047167398866804e-08,460,1013.0,2569,382,429,"d_q_exc_[2, 11]_[6, 7]","[[2, 11], [6, 7]]",0.061307834261535715
81,82,-15.33159206216995,7.018625680643709e-09,3,1.2028541718223096e-08,572,1026.0,2602,388,439,"d_q_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",-0.012308744631664833
82,83,-15.3315920686901,6.5201497534417285e-09,2,5.508391964781367e-09,554,1039.0,2635,388,439,"d_q_exc_[2, 11]_[12, 13]","[[2, 11], [12, 13]]",0.03495659761476549
83,84,-15.331592070437186,1.7470860314006131e-09,2,3.761305933380754e-09,388,1052.0,2668,394,449,"d_q_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",0.003797371767157585
84,85,-15.331592072156099,1.7189130119277252e-09,4,2.042392921453029e-09,553,1065.0,2701,394,449,"d_q_exc_[0, 4]_[2, 12]","[[0, 4], [2, 12]]",-0.004132937811007822
85,86,-15.33159207237464,2.1854162923773401e-10,3,1.823851292215295e-09,213,1078.0,2734,405,460,"d_q_exc_[1, 8]_[2, 9]","[[1, 8], [2, 9]]",0.005242416039446509
86,87,-15.331592072617712,2.4307134083301207e-10,3,1.5807799513822829e-09,449,1091.0,2767,405,460,"d_q_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",0.002422365516152893
87,88,-15.331592072773859,1.5614709525380022e-10,4,1.4246328561284827e-09,416,1104.0,2800,416,471,"d_q_exc_[1, 4]_[2, 5]","[[1, 4], [2, 5]]",0.0014850955602519029
88,89,-15.331592072811208,3.7349678905229666e-11,0,1.387283177223253e-09,223,1117.0,2833,416,471,"d_q_exc_[3, 13]_[5, 11]","[[3, 13], [5, 11]]",-0.004225944367710007
89,90,-15.331592072934919,1.2371081936635164e-10,3,1.2635723578569014e-09,388,1130.0,2866,416,471,"d_q_exc_[0, 12]_[2, 4]","[[0, 12], [2, 4]]",-0.0050129635687313065
90,91,-15.331592072935559,6.394884621840902e-13,0,1.2629328693947173e-09,79,1143.0,2899,421,477,"d_q_exc_[0, 11]_[1, 2]","[[0, 11], [1, 2]]",-3.939372302981938e-05
