,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.662652132312189,12.215537760654536,0,0.11630995016102386,3,3.0,7,3,4,s_q_exc_3_5,"[[3], [5]]",-1.3497707959434455
1,2,-7.7050288336211095,0.04237670130892024,4,0.07393324885210362,10,16.0,40,11,13,"d_q_exc_[2, 5]_[3, 4]","[[2, 5], [3, 4]]",-2.275912015922747
2,3,-7.734256219623179,0.029227386002069977,4,0.04470586285003364,50,19.0,47,11,14,s_q_exc_3_11,"[[3], [11]]",0.43995301013189614
3,4,-7.767241430951364,0.03298521132818433,1,0.011720651521849312,22,32.0,80,22,24,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",1.5707937639447151
4,5,-7.7753131713110415,0.008071740359677726,1,0.0036489111621715864,23,45.0,113,28,35,"d_q_exc_[3, 10]_[4, 11]","[[3, 10], [4, 11]]",-0.893622181792737
5,6,-7.778463959058544,0.003150787747502548,1,0.0004981234146690383,25,58.0,146,33,41,"d_q_exc_[2, 11]_[3, 4]","[[2, 11], [3, 4]]",-0.2337326776538497
6,7,-7.778543943482054,7.99844235102043e-05,0,0.000418138991158834,21,61.0,153,33,41,s_q_exc_1_11,"[[1], [11]]",-0.012589057123539948
7,8,-7.778619142926392,7.519944433731496e-05,1,0.00034293954682151906,35,74.0,186,33,41,"d_q_exc_[0, 11]_[1, 10]","[[0, 11], [1, 10]]",-1.286126396224917
8,9,-7.778661175927315,4.203300092342488e-05,0,0.0003009065458980942,36,87.0,219,39,51,"d_q_exc_[0, 3]_[1, 4]","[[0, 3], [1, 4]]",2.0021148297301994
9,10,-7.778683168909679,2.1992982364160696e-05,3,0.0002789135635339335,66,100.0,252,39,51,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.8446039692344312
10,11,-7.778703432682071,2.0263772391615475e-05,2,0.000258649791142318,65,113.0,285,39,51,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",0.9366817319358528
11,12,-7.778729750383902,2.6317701831146678e-05,0,0.00023233208931117133,84,126.0,318,39,51,"d_q_exc_[0, 5]_[1, 2]","[[0, 5], [1, 2]]",-1.034645639291334
12,13,-7.77874952238311,1.9771999207662816e-05,0,0.00021256009010350851,71,139.0,351,44,51,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.00216598425504076
13,14,-7.778768505910497,1.8983527387383958e-05,0,0.00019357656271612456,81,152.0,384,55,55,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0019844620393018385
14,15,-7.778787364967647,1.885905714971159e-05,0,0.00017471750556641297,82,165.0,417,66,66,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0019803151247242846
15,16,-7.778804263165701,1.6898198054171587e-05,0,0.00015781930751224138,75,178.0,450,66,66,"d_q_exc_[1, 4]_[2, 5]","[[1, 4], [2, 5]]",0.003471953748868792
16,17,-7.778819424365369,1.5161199668156655e-05,0,0.00014265810784408473,114,191.0,483,77,77,"d_q_exc_[0, 10]_[2, 4]","[[0, 10], [2, 4]]",0.02001464602137141
