,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.719855003700519,15.20552754640557,0,0.043831108515624884,3,3.0,7,3,4,s_q_exc_2_5,"[[2], [5]]",-1.570796326856877
1,2,-7.757371535421089,0.0375165317205699,0,0.0063145767950549825,26,6.0,14,3,4,s_q_exc_3_11,"[[3], [11]]",0.2333921280661588
2,3,-7.7630337787369585,0.0056622433158697305,0,0.000652333479185252,10,9.0,21,6,7,s_q_exc_5_11,"[[5], [11]]",0.1423825388947134
3,4,-7.763201672560273,0.00016789382331428016,0,0.0004844396558709718,11,22.0,54,12,16,"d_q_exc_[0, 11]_[5, 10]","[[0, 11], [5, 10]]",0.08192402031400792
4,5,-7.763298630257926,9.695769765283302e-05,0,0.0003874819582181388,16,25.0,61,15,19,s_q_exc_1_11,"[[1], [11]]",-0.006759505705330923
5,6,-7.763381635922733,8.300566480734517e-05,0,0.00030447629341079363,93,38.0,94,22,29,"d_q_exc_[0, 11]_[4, 5]","[[0, 11], [4, 5]]",0.04665294398787189
6,7,-7.763431693915953,5.0057993219887464e-05,0,0.00025441830019090617,31,51.0,127,26,30,"d_q_exc_[5, 10]_[6, 7]","[[5, 10], [6, 7]]",0.5156456371709189
7,8,-7.76347735070432,4.565678836687681e-05,0,0.00020876151182402936,35,64.0,160,33,39,"d_q_exc_[0, 11]_[2, 5]","[[0, 11], [2, 5]]",0.03602403328798608
8,9,-7.7635275737125085,5.0223008188687857e-05,0,0.0001585385036353415,47,77.0,193,41,47,"d_q_exc_[5, 10]_[8, 9]","[[5, 10], [8, 9]]",0.5504874115370627
9,10,-7.76354842823261,2.085452010192057e-05,0,0.00013768398353342093,18,90.0,226,45,53,"d_q_exc_[0, 1]_[2, 5]","[[0, 1], [2, 5]]",-0.014447809297697014
10,11,-7.763568597397945,2.016916533431612e-05,0,0.00011751481819910481,48,103.0,259,55,55,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0026131236433080502
11,12,-7.763588642189776,2.0044791831708153e-05,0,9.747002636739666e-05,51,116.0,292,66,66,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.002501507004244178
12,13,-7.763606285202923,1.7643013146440012e-05,0,7.982701322095664e-05,52,129.0,325,77,77,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0028178276019559215
13,14,-7.763628459337095,2.2174134172381343e-05,0,5.76528790485753e-05,67,142.0,358,77,77,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.48038373009832097
14,15,-7.763647874142775,1.9414805679573988e-05,0,3.823807336900131e-05,69,155.0,391,77,77,"d_q_exc_[3, 10]_[8, 9]","[[3, 10], [8, 9]]",-0.16541154172341202
15,16,-7.763666383884342,1.850974156702989e-05,0,1.972833180197142e-05,100,168.0,424,77,77,"d_q_exc_[3, 10]_[4, 5]","[[3, 10], [4, 5]]",-1.2340792660547288
16,17,-7.7636726885320435,6.3046477016825975e-06,0,1.3423684100288824e-05,88,181.0,457,88,88,"d_q_exc_[0, 5]_[3, 4]","[[0, 5], [3, 4]]",-0.0056700529360161084
17,18,-7.763679088266705,6.399734661322043e-06,0,7.023949438966781e-06,120,194.0,490,88,88,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.6555412016715364
18,19,-7.763682724890668,3.6366239628549124e-06,0,3.3873254761118687e-06,120,207.0,523,88,88,"d_q_exc_[1, 11]_[3, 5]","[[1, 11], [3, 5]]",-0.5645236061734479
19,20,-7.7636842144115565,1.4895208888532352e-06,0,1.8978045872586335e-06,120,220.0,556,99,99,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0010881517637776244
20,21,-7.763684813097745,5.986861886242423e-07,0,1.2991183986343913e-06,110,233.0,589,99,99,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.27401964510701576
21,22,-7.763685340413921,5.273161756136346e-07,0,7.718022230207566e-07,125,246.0,622,110,110,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.00045890212936536674
22,23,-7.763685536235704,1.9582178278909623e-07,0,5.759804402316604e-07,176,259.0,655,110,110,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.05074228360729533
23,24,-7.763685995933662,4.5969795881006803e-07,0,1.1628248142159237e-07,175,272.0,688,110,110,"d_q_exc_[3, 4]_[8, 9]","[[3, 4], [8, 9]]",-0.16599781947535439
24,25,-7.763686057018787,6.108512451419301e-08,0,5.519735690739935e-08,88,285.0,721,110,110,"d_q_exc_[2, 11]_[3, 10]","[[2, 11], [3, 10]]",0.01201873089564063
25,26,-7.763686081147133,2.412834643195083e-08,0,3.106901047544852e-08,203,298.0,754,110,110,"d_q_exc_[1, 5]_[3, 11]","[[1, 5], [3, 11]]",-0.005194439397578405
26,27,-7.763686098519599,1.7372465244136492e-08,0,1.369654523131203e-08,179,311.0,787,110,110,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",0.008189473704262882
27,28,-7.763686112208467,1.3688868705230561e-08,0,7.676526081468182e-12,231,324.0,820,110,113,"d_q_exc_[2, 5]_[8, 9]","[[2, 5], [8, 9]]",-0.039927534179627806
28,29,-7.7636861122120155,3.5482727867020003e-12,0,4.128253294766182e-12,5,337.0,853,121,123,"d_q_exc_[0, 5]_[2, 11]","[[0, 5], [2, 11]]",-1.245553518348115e-06
29,30,-7.7636861122133904,1.3749001936957939e-12,0,2.7533531010703882e-12,52,350.0,886,121,129,"d_q_exc_[1, 10]_[4, 5]","[[1, 10], [4, 5]]",-0.0005534327753662051
30,31,-7.763686112214172,7.815970093361102e-13,0,1.971756091734278e-12,94,363.0,919,132,139,"d_q_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",-6.563865649943447e-07
