,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.194201585487203,22.620050329106807,0,0.13792385550781816,3,3.0,7,3,4,s_q_exc_4_7,"[[4], [7]]",1.5707963267886875
1,2,-15.243020975750962,0.04881939026375903,0,0.08910446524405913,4,16.0,40,11,13,"d_q_exc_[2, 7]_[4, 13]","[[2, 7], [4, 13]]",0.37607108657301325
2,3,-15.269371892357102,0.026350916606139307,1,0.06275354863791982,61,29.0,73,19,21,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.6367094181925438
3,4,-15.286022743093834,0.01665085073673289,3,0.04610269790118693,15,32.0,80,19,21,s_q_exc_2_6,"[[2], [6]]",0.36293004393248524
4,5,-15.299282517553696,0.013259774459861262,0,0.03284292344132567,18,45.0,113,19,21,"d_q_exc_[3, 6]_[12, 13]","[[3, 6], [12, 13]]",-0.2864429640513252
5,6,-15.304155941267172,0.0048734237134766545,0,0.027969499727849012,72,58.0,146,25,29,"d_q_exc_[2, 7]_[5, 4]","[[2, 7], [5, 4]]",-0.5151680019910184
6,7,-15.308684747111988,0.004528805844815409,0,0.023440693883033603,20,71.0,179,36,37,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.23804126532263548
7,8,-15.31624269656555,0.007557949453561363,1,0.01588274442947224,27,84.0,212,36,39,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",-0.41362351172010436
8,9,-15.328525422915007,0.012282726349457818,0,0.003600018080014422,25,97.0,245,36,39,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",0.7853992942903697
9,10,-15.331354170610286,0.002828747695279077,0,0.0007712703847353453,27,100.0,252,36,42,s_q_exc_3_7,"[[3], [7]]",-0.27752606583512407
10,11,-15.331570147564507,0.0002159769542213752,1,0.0005552934305139701,33,113.0,285,36,42,"d_q_exc_[3, 6]_[5, 4]","[[3, 6], [5, 4]]",-0.1602081353498709
11,12,-15.331754942134966,0.00018479457045827985,0,0.0003704988600556902,37,126.0,318,42,48,"d_q_exc_[3, 5]_[7, 13]","[[3, 5], [7, 13]]",-0.07620493826068901
12,13,-15.331889424651596,0.00013448251663028543,0,0.00023601634342540478,82,129.0,325,45,50,s_q_exc_1_3,"[[1], [3]]",0.0333538528182159
13,14,-15.331972979544883,8.355489328693011e-05,0,0.00015246145013847467,49,142.0,358,51,60,"d_q_exc_[0, 3]_[2, 1]","[[0, 3], [2, 1]]",-0.6847616006490524
14,15,-15.332015571284593,4.2591739710218235e-05,0,0.00010986971042825644,49,155.0,391,56,66,"d_q_exc_[0, 7]_[3, 2]","[[0, 7], [3, 2]]",-0.02557040759953145
15,16,-15.332041904217558,2.63329329648343e-05,1,8.353677746342214e-05,67,168.0,424,56,66,"d_q_exc_[2, 13]_[12, 7]","[[2, 13], [12, 7]]",2.6753115792320177
16,17,-15.33206747721034,2.5572992781164317e-05,0,5.7963784682257824e-05,70,181.0,457,61,72,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.0032515365457823826
17,18,-15.332077350855101,9.873644762237177e-06,0,4.809013992002065e-05,86,194.0,490,72,82,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.7229084145219918
18,19,-15.332084495129392,7.144274290382668e-06,0,4.094586562963798e-05,76,207.0,523,72,82,"d_q_exc_[1, 12]_[7, 4]","[[1, 12], [7, 4]]",0.05198638242716316
19,20,-15.332090662719397,6.167590004935164e-06,0,3.4778275624702815e-05,95,220.0,556,72,88,"d_q_exc_[0, 7]_[6, 3]","[[0, 7], [6, 3]]",-0.005194356206810107
