,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.71021933276812,15.051270864946236,0,0.062019682550270794,31,3.0,7,3,4,s_q_exc_2_4,"[[2], [4]]",1.3420495210102277
1,2,-7.744212218353662,0.033992885585542254,0,0.02802679696472854,7,6.0,14,3,4,s_q_exc_3_11,"[[3], [11]]",0.7985834972672872
2,3,-7.758094222284898,0.01388200393123551,3,0.01414479303349303,23,19.0,47,14,15,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.00010481920057322363
3,4,-7.760120907205569,0.0020266849206711512,6,0.01211810811282188,22,32.0,80,25,26,"d_q_exc_[2, 5]_[4, 11]","[[2, 5], [4, 11]]",-1.3173149204748043
4,5,-7.766897298537122,0.0067763913315532776,4,0.005341716781268602,35,45.0,113,36,37,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",1.5709576454527145
5,6,-7.771541270653345,0.004643972116222805,2,0.0006977446650457964,26,58.0,146,47,48,"d_q_exc_[2, 11]_[3, 10]","[[2, 11], [3, 10]]",0.7859122405717285
6,7,-7.771691082896025,0.00014981224267973658,0,0.0005479324223660598,22,61.0,153,47,48,s_q_exc_1_11,"[[1], [11]]",-0.01088639604272533
7,8,-7.7718306989752035,0.0001396160791786727,1,0.0004083163431873871,36,74.0,186,47,48,"d_q_exc_[0, 11]_[1, 10]","[[0, 11], [1, 10]]",-1.0102333944006308
8,9,-7.771884325445841,5.3626470637446744e-05,0,0.00035468987254994033,37,87.0,219,47,48,"d_q_exc_[1, 11]_[3, 5]","[[1, 11], [3, 5]]",0.03941528824139938
9,10,-7.7719353691815,5.1043735658673484e-05,0,0.00030364613689126685,40,100.0,252,52,54,"d_q_exc_[0, 10]_[2, 4]","[[0, 10], [2, 4]]",0.03674429329680434
10,11,-7.771984647052918,4.927787141806306e-05,0,0.0002543682654732038,56,113.0,285,52,54,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.3835371227927388
11,12,-7.772033089146187,4.844209326915205e-05,1,0.00020592617220405174,53,126.0,318,52,54,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",-0.5809985229124357
12,13,-7.77205647197407,2.338282788283408e-05,0,0.00018254334432121766,43,139.0,351,52,54,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0013177753166674292
13,14,-7.772079609321378,2.313734730829964e-05,0,0.00015940599701291802,55,152.0,384,57,60,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.00017641212193004134
14,15,-7.772099545168389,1.9935847011431918e-05,1,0.0001394701500014861,78,165.0,417,57,60,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.002598603506499654
15,16,-7.772119358495364,1.9813326974649215e-05,0,0.00011965682302683689,74,178.0,450,66,66,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.001969333361898534
16,17,-7.772132514098557,1.3155603192593901e-05,6,0.00010650121983424299,93,191.0,483,68,71,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.368877057968304
17,18,-7.772145516042573,1.3001944016544087e-05,8,9.34992758176989e-05,92,204.0,516,79,82,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.5219230442389352
18,19,-7.772156747636645,1.1231594071681172e-05,4,8.226768174601773e-05,78,217.0,549,79,82,"d_q_exc_[1, 10]_[4, 11]","[[1, 10], [4, 11]]",-0.026249051934820772
19,20,-7.772168924886779,1.2177250134470796e-05,7,7.009043161154693e-05,104,230.0,582,79,82,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",0.37345812900954306
20,21,-7.772193925734215,2.5000847435840967e-05,9,4.5089584175705966e-05,108,243.0,615,79,82,"d_q_exc_[3, 4]_[5, 10]","[[3, 4], [5, 10]]",0.024883749401240562
21,22,-7.772203815985107,9.890250892041763e-06,0,3.51993332836642e-05,96,256.0,648,85,92,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.003950846009002517
22,23,-7.772206736736179,2.920751072110761e-06,6,3.227858221155344e-05,102,269.0,681,88,92,"d_q_exc_[0, 11]_[3, 10]","[[0, 11], [3, 10]]",-0.007675045311462154
23,24,-7.772210897278994,4.160542814268808e-06,5,2.8118039397284633e-05,113,282.0,714,99,99,"d_q_exc_[0, 5]_[1, 10]","[[0, 5], [1, 10]]",-0.0017372115961491145
24,25,-7.772216031974172,5.134695178377058e-06,7,2.2983344218907575e-05,117,295.0,747,110,110,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.006745975426180377
25,26,-7.772218884659104,2.8526849318311065e-06,1,2.013065928707647e-05,120,308.0,780,110,110,"d_q_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",0.0011705810004654078
26,27,-7.772221660652695,2.775993591441761e-06,3,1.7354665695634708e-05,134,321.0,813,110,110,"d_q_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",-0.0005810556086957217
27,28,-7.772223756155557,2.095502861898524e-06,0,1.5259162833736184e-05,77,334.0,846,121,121,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.043847767364734745
28,29,-7.772225343855356,1.587699799188158e-06,0,1.3671463034548026e-05,135,347.0,879,121,131,"d_q_exc_[1, 4]_[5, 10]","[[1, 4], [5, 10]]",0.002376818232059506
29,30,-7.772227665928001,2.32207264438955e-06,5,1.1349390390158476e-05,192,350.0,886,121,135,s_q_exc_1_3,"[[1], [3]]",-0.00041665220662040047
30,31,-7.772232374231042,4.70830304166725e-06,5,6.641087348491226e-06,183,363.0,919,121,135,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.027060750250159162
31,32,-7.772234093121278,1.7188902354803304e-06,2,4.9221971130108955e-06,217,376.0,952,132,141,"d_q_exc_[0, 3]_[1, 2]","[[0, 3], [1, 2]]",0.11613838656781957
32,33,-7.7722367921353435,2.6990140655769324e-06,5,2.223183047433963e-06,209,389.0,985,132,141,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",-0.00029454955568899207
33,34,-7.772237561808585,7.69673241585167e-07,4,1.453509805848796e-06,208,402.0,1018,143,143,"d_q_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",-0.000913763293123693
34,35,-7.772238160200096,5.98391510564511e-07,3,8.551182952842851e-07,175,415.0,1051,143,152,"d_q_exc_[1, 10]_[2, 11]","[[1, 10], [2, 11]]",-0.005587175008693111
35,36,-7.772238347419494,1.8721939820665057e-07,0,6.678988970776345e-07,161,428.0,1084,154,154,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.00030697927334028956
36,37,-7.772238521581806,1.7416231212763478e-07,5,4.937365849499997e-07,178,441.0,1117,154,163,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",0.0018468860774210828
37,38,-7.772238648766548,1.2718474184936213e-07,0,3.665518431006376e-07,161,454.0,1150,165,173,"d_q_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",9.514104408252984e-05
38,39,-7.772238771713819,1.2294727103068226e-07,0,2.4360457206995534e-07,174,467.0,1183,176,176,"d_q_exc_[0, 11]_[8, 9]","[[0, 11], [8, 9]]",0.001121181394610551
39,40,-7.7722388161194385,4.4405619625820236e-08,8,1.991989524441351e-07,207,480.0,1216,187,187,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.045900580930230674
40,41,-7.772238852061815,3.594237618642637e-08,2,1.6325657625770873e-07,215,493.0,1249,198,198,"d_q_exc_[0, 5]_[3, 10]","[[0, 5], [3, 10]]",0.0002644872954017585
41,42,-7.77223888873192,3.667010517460767e-08,0,1.2658647108310106e-07,150,506.0,1282,209,209,"d_q_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",-7.827002372452868e-05
42,43,-7.7722389090177115,2.028579171309275e-08,2,1.0630067937000831e-07,181,519.0,1315,220,220,"d_q_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",-0.00025882620392946243
43,44,-7.772238927754214,1.8736502127580934e-08,0,8.756417724242738e-08,250,532.0,1348,220,220,"d_q_exc_[1, 4]_[3, 10]","[[1, 4], [3, 10]]",0.006130006320417053
44,45,-7.772238943703816,1.5949602527598472e-08,0,7.16145747148289e-08,235,545.0,1381,220,225,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.00015258774610503665
45,46,-7.7722389669799945,2.3276178318099028e-08,7,4.833839639672988e-08,263,558.0,1414,220,225,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.37285657601288086
46,47,-7.772238977038504,1.0058509580801456e-08,0,3.827988681592842e-08,271,561.0,1421,223,225,s_q_exc_0_4,"[[0], [4]]",-0.00013291483082606575
47,48,-7.772238994552553,1.751404887784247e-08,8,2.076583793808595e-08,313,574.0,1454,223,225,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.43060310823823195
48,49,-7.7722390032885675,8.736014578403228e-09,4,1.2029823359682723e-08,322,587.0,1487,234,235,"d_q_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",0.0005495642472766822
