,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
34,35,-7.763656459678898,2.6395130623413365e-06,2,2.965253722653216e-05,88,385.0,973,160,164,"d_q_exc_[1, 4]_[2, 3]","[[1, 4], [2, 3]]",0.21585509161435515
35,36,-7.76366310248226,6.642803362488792e-06,0,2.300973386404337e-05,101,398.0,1006,171,173,"d_q_exc_[0, 11]_[8, 9]","[[0, 11], [8, 9]]",0.006094884764196153
36,37,-7.763669671584349,6.569102088960221e-06,0,1.6440631775083148e-05,74,411.0,1039,182,184,"d_q_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",0.006095972813219582
37,38,-7.76367613243076,6.460846410760723e-06,0,9.979785364322424e-06,91,424.0,1072,182,184,"d_q_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",0.0031661346650167076
38,39,-7.763682482326848,6.349896088053697e-06,0,3.6298892762687274e-06,87,437.0,1105,182,186,"d_q_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",0.0031653774606901454
39,40,-7.763683122474996,6.401481478235382e-07,1,2.989741128445189e-06,98,450.0,1138,193,196,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.00024075784390524505
40,41,-7.763684006806999,8.843320031814983e-07,0,2.105409125263691e-06,169,463.0,1171,204,206,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.013492349475302983
41,42,-7.763684635369242,6.28562243143449e-07,6,1.4768468821202418e-06,115,466.0,1178,204,210,s_q_exc_1_3,"[[1], [3]]",-0.004443812448535517
42,43,-7.763685226340802,5.90971559688569e-07,9,8.858753224316729e-07,50,479.0,1211,215,217,"d_q_exc_[0, 3]_[2, 11]","[[0, 3], [2, 11]]",0.09047358584142727
43,44,-7.763685716318971,4.899781691491967e-07,4,3.958971532824762e-07,108,492.0,1244,215,221,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",0.014599511369804126
44,45,-7.763685765529718,4.9210746588812526e-08,3,3.466864066936637e-07,62,505.0,1277,215,232,"d_q_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",0.015783676223327638
45,46,-7.763685798111406,3.258168845832188e-08,9,3.141047182353418e-07,110,518.0,1310,226,242,"d_q_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",-0.00020561202352074875
46,47,-7.763685808699984,1.058857801439217e-08,9,3.0351614022094964e-07,79,531.0,1343,237,252,"d_q_exc_[0, 1]_[2, 5]","[[0, 1], [2, 5]]",2.7050636305431016e-06
47,48,-7.763685927126941,1.1842695712971363e-07,2,1.85089183091236e-07,152,534.0,1350,240,252,s_q_exc_0_10,"[[0], [10]]",0.0640425189107452
48,49,-7.763685932224095,5.097153810140753e-09,8,1.7999202928109526e-07,154,547.0,1383,251,254,"d_q_exc_[0, 5]_[2, 11]","[[0, 5], [2, 11]]",0.15794939394371837
49,50,-7.763685951548277,1.9324182254365496e-08,1,1.6066784702672976e-07,85,550.0,1390,254,258,s_q_exc_0_2,"[[0], [2]]",0.013659362431388811
50,51,-7.763685968793317,1.7245040062618955e-08,3,1.434228069641108e-07,104,563.0,1423,254,263,"d_q_exc_[1, 4]_[2, 11]","[[1, 4], [2, 11]]",-0.05327772142177519
51,52,-7.763686033033899,6.424058174303582e-08,4,7.918222522107499e-08,161,576.0,1456,254,263,"d_q_exc_[2, 5]_[10, 11]","[[2, 5], [10, 11]]",0.6750634978267063
52,53,-7.763686067165913,3.413201365987106e-08,9,4.5050211561203923e-08,269,589.0,1489,265,273,"d_q_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",0.0003410979694343587
53,54,-7.7636860699431045,2.7771918098551396e-09,5,4.2273019751348784e-08,146,602.0,1522,276,280,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.06534929912624352
54,55,-7.763686070516868,5.737632591262809e-10,1,4.16992564922225e-08,154,605.0,1529,276,280,s_q_exc_1_5,"[[1], [5]]",-0.005818066825097018
55,56,-7.76368607148193,9.650618082446272e-10,0,4.0734194683977876e-08,177,618.0,1562,287,291,"d_q_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",-0.043485268225336424
56,57,-7.763686095904223,2.4422293520842686e-08,0,1.631190116313519e-08,630,631.0,1595,298,302,"d_q_exc_[0, 5]_[4, 11]","[[0, 5], [4, 11]]",-0.09609099799210592
57,58,-7.763686095931646,2.7422508708241367e-11,3,1.6284478654426948e-08,96,644.0,1628,309,313,"d_q_exc_[0, 1]_[2, 5]","[[0, 1], [2, 5]]",-0.0011066899270807116
58,59,-7.7636860972674375,1.335791921519558e-09,0,1.494868673290739e-08,151,657.0,1661,320,324,"d_q_exc_[0, 11]_[8, 9]","[[0, 11], [8, 9]]",-0.019047120041545424
59,60,-7.763686107707107,1.0439669573258925e-08,0,4.509017159648465e-09,382,670.0,1694,331,335,"d_q_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",-0.01904050030335255
60,61,-7.7636861080029345,2.958273626063601e-10,9,4.213189797042105e-09,187,683.0,1727,331,335,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",9.330946202791068e-05
61,62,-7.763686108630111,6.27176532930207e-10,4,3.586013264111898e-09,143,696.0,1760,342,346,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.002358427808506927
62,63,-7.763686112096828,3.466716691491456e-09,5,1.1929657262044202e-10,138,709.0,1793,353,357,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.0023607970569038427
63,64,-7.763686112160737,6.390887818952251e-11,1,5.538769443091951e-11,117,722.0,1826,353,357,"d_q_exc_[2, 11]_[8, 9]","[[2, 11], [8, 9]]",-9.737953682129945e-05
64,65,-7.763686112210456,4.971933975639331e-11,5,5.668354674526199e-12,36,735.0,1859,353,357,"d_q_exc_[2, 11]_[6, 7]","[[2, 11], [6, 7]]",-9.751512411842062e-05
65,66,-7.763686112210573,1.1723955140041653e-13,8,5.551115123125783e-12,85,748.0,1892,353,357,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",8.741574193265209e-07
