,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.705028833621107,12.257914461963452,0,0.07393324885233454,3,3.0,7,3,4,s_q_exc_3_4,"[[3], [4]]",1.570796327692907
1,2,-7.763993392696559,0.05896455907545217,0,0.014968689776882371,3,6.0,14,3,4,s_q_exc_2_10,"[[2], [10]]",0.4640271049874185
2,3,-7.778463959058541,0.014470566361982407,0,0.0004981234148999647,12,9.0,21,6,8,s_q_exc_2_4,"[[2], [4]]",-0.8931210636924618
3,4,-7.778555612254845,9.165319630355384e-05,1,0.00040647021859641086,74,22.0,54,11,14,"d_q_exc_[1, 10]_[2, 11]","[[1, 10], [2, 11]]",-0.03662114135715446
4,5,-7.778630532445625,7.492019078014778e-05,0,0.0003315500278162631,50,25.0,61,12,16,s_q_exc_0_10,"[[0], [10]]",0.00858724701871615
5,6,-7.77868383064707,5.329820144517328e-05,0,0.0002782518263710898,25,38.0,94,17,17,"d_q_exc_[4, 11]_[6, 7]","[[4, 11], [6, 7]]",-0.6188520245295778
6,7,-7.778736352349466,5.252170239611331e-05,0,0.0002257301239749765,44,51.0,127,28,28,"d_q_exc_[4, 11]_[8, 9]","[[4, 11], [8, 9]]",-0.6866971563712738
7,8,-7.778766442269864,3.0089920397990966e-05,2,0.00019564020357698553,30,64.0,160,28,36,"d_q_exc_[0, 11]_[1, 2]","[[0, 11], [1, 2]]",0.3641575337255847
8,9,-7.778789652397839,2.321012797423805e-05,4,0.00017243007560274748,84,77.0,193,28,36,"d_q_exc_[0, 3]_[1, 10]","[[0, 3], [1, 10]]",-0.587216893541633
9,10,-7.778812955424694,2.3303026855714393e-05,0,0.00014912704874703309,58,90.0,226,32,36,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0036819377423478548
10,11,-7.778837216932471,2.4261507777012525e-05,1,0.00012486554097002056,58,103.0,259,32,36,"d_q_exc_[5, 10]_[6, 7]","[[5, 10], [6, 7]]",-0.6960017216090262
11,12,-7.7788602447216775,2.302778920615367e-05,0,0.00010183775176386689,61,116.0,292,43,45,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.004224604170851001
12,13,-7.778881996598855,2.1751877177678125e-05,2,8.008587458618877e-05,80,129.0,325,43,46,"d_q_exc_[0, 10]_[2, 4]","[[0, 10], [2, 4]]",1.4160223519213955
13,14,-7.77890179705469,1.9800455834939612e-05,0,6.0285418751249154e-05,92,142.0,358,47,48,"d_q_exc_[0, 5]_[4, 11]","[[0, 5], [4, 11]]",-0.7856860927434052
14,15,-7.7789108546314285,9.057576738413786e-06,2,5.122784201283537e-05,107,155.0,391,58,59,"d_q_exc_[0, 5]_[3, 4]","[[0, 5], [3, 4]]",-0.5281933231519613
15,16,-7.778920677454794,9.82282336536855e-06,6,4.140501864746682e-05,129,168.0,424,69,70,"d_q_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",1.2301376561999455
16,17,-7.778929618809592,8.941354797897816e-06,0,3.2463663849569e-05,131,181.0,457,80,81,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0021806989001401313
17,18,-7.77894165102737,1.203221777856811e-05,0,2.043144607100089e-05,127,194.0,490,91,92,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0018411016091467187
18,19,-7.778947460923631,5.8098962609776095e-06,5,1.4621549810023282e-05,152,207.0,523,91,92,"d_q_exc_[2, 5]_[3, 10]","[[2, 5], [3, 10]]",-0.9814351092431663
19,20,-7.778954765824584,7.304900952576077e-06,8,7.3166488574472055e-06,182,220.0,556,91,92,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",0.3082995502337441
20,21,-7.778960996878709,6.231054125116486e-06,0,1.0855947323307191e-06,208,233.0,589,102,103,"d_q_exc_[0, 10]_[2, 4]","[[0, 10], [2, 4]]",-0.8513500359426959
21,22,-7.778961768510134,7.716314254224699e-07,7,3.1396330690824925e-07,225,236.0,596,102,103,s_q_exc_3_5,"[[3], [5]]",0.1378902334452278
22,23,-7.778961907523891,1.3901375695013485e-07,7,1.749495499581144e-07,263,249.0,629,102,103,"d_q_exc_[2, 11]_[8, 9]","[[2, 11], [8, 9]]",-0.059019279300692236
23,24,-7.778962048533039,1.4100914746961735e-07,5,3.394040248849706e-08,267,262.0,662,102,103,"d_q_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",0.000511535888134338
24,25,-7.778962080341656,3.180861707363647e-08,6,2.1317854148605875e-09,355,275.0,695,102,103,"d_q_exc_[3, 4]_[6, 7]","[[3, 4], [6, 7]]",0.08592873847613076
25,26,-7.778962081808144,1.466488264156851e-09,0,6.652971507037364e-10,184,288.0,728,113,114,"d_q_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",0.005770208453981668
26,27,-7.778962082420277,6.121325668573263e-10,7,5.3164583846410096e-11,179,301.0,761,113,114,"d_q_exc_[3, 10]_[4, 5]","[[3, 10], [4, 5]]",0.01189691490052448
27,28,-7.778962082466501,4.622435767487332e-11,0,6.9402261715367786e-12,63,314.0,794,124,125,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0010497485501348583
28,29,-7.7789620824677215,1.220357148667972e-12,9,5.7198690228688065e-12,11,327.0,827,135,136,"d_q_exc_[0, 11]_[8, 9]","[[0, 11], [8, 9]]",-5.0889806114297804e-05
29,30,-7.7789620824688095,1.0880185641326534e-12,8,4.631850458736153e-12,65,340.0,860,146,147,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-5.8847866920943256e-05
30,31,-7.778962082469855,1.0453859999870474e-12,0,3.5864644587491057e-12,5,353.0,893,157,158,"d_q_exc_[0, 11]_[2, 5]","[[0, 11], [2, 5]]",-0.00011718754433886274
31,32,-7.778962082470651,7.958078640513122e-13,0,2.7906565946977935e-12,6,366.0,926,168,169,"d_q_exc_[0, 4]_[2, 10]","[[0, 4], [2, 10]]",9.766018734838188e-05
