,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.271488720789202,26.543759844201077,0,0.06278031900158965,3,3.0,7,3,4,s_q_exc_4_9,"[[4], [9]]",1.5707963246972363
1,2,-15.288723820331773,0.017235099542570964,0,0.04554521945901868,71,16.0,40,11,11,"d_q_exc_[2, 5]_[4, 11]","[[2, 5], [4, 11]]",0.24475031352285004
2,3,-15.29993588027977,0.011212059947997233,1,0.03433315951102145,12,29.0,73,22,22,"d_q_exc_[2, 13]_[11, 4]","[[2, 13], [11, 4]]",-0.449726773803016
3,4,-15.310254944697851,0.010319064418080615,0,0.024014095092940835,12,42.0,106,33,33,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.19620821124761426
4,5,-15.316219502847002,0.005964558149150534,4,0.0180495369437903,19,55.0,139,33,33,"d_q_exc_[3, 12]_[10, 5]","[[3, 12], [10, 5]]",-1.0062016680170844
5,6,-15.322320558828398,0.0061010559813965415,3,0.01194848096239376,27,68.0,172,33,33,"d_q_exc_[5, 8]_[9, 12]","[[5, 8], [9, 12]]",-1.0419480384082893
6,7,-15.324532302483567,0.002211743655168519,0,0.00973673730722524,28,81.0,205,44,44,"d_q_exc_[2, 5]_[4, 3]","[[2, 5], [4, 3]]",0.35313632601506445
7,8,-15.327067411056946,0.002535108573379574,0,0.007201628733845666,32,94.0,238,44,44,"d_q_exc_[3, 11]_[5, 13]","[[3, 11], [5, 13]]",0.3543645829276718
8,9,-15.329757367201648,0.0026899561447013554,3,0.004511672589144311,36,107.0,271,44,49,"d_q_exc_[3, 10]_[5, 4]","[[3, 10], [5, 4]]",-0.6818283455568711
9,10,-15.33133909314468,0.001581725943031742,0,0.002929946646112569,38,120.0,304,55,59,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.039694936287391666
10,11,-15.332235915291617,0.0008968221469380921,0,0.002033124499174477,47,133.0,337,55,59,"d_q_exc_[8, 13]_[12, 9]","[[8, 13], [12, 9]]",0.3551506183098111
11,12,-15.332397506421184,0.00016159112956692923,0,0.0018715333696075476,55,146.0,370,55,60,"d_q_exc_[5, 10]_[11, 12]","[[5, 10], [11, 12]]",0.46264177906054155
