,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
36,37,-7.778150601917391,8.951095775699969e-08,0,6.101965048799229e-07,167,441.0,1117,231,231,"d_q_exc_[0, 2]_[5, 11]","[[0, 2], [5, 11]]",1.5575937568629377
37,38,-7.778150669629892,6.771250138370988e-08,6,5.424840034962131e-07,115,454.0,1150,242,242,"d_q_exc_[0, 2]_[1, 5]","[[0, 2], [1, 5]]",0.06938106415018917
38,39,-7.7781507642818175,9.465192540858425e-08,0,4.478320780876288e-07,190,467.0,1183,253,253,"d_q_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",0.00020820460658119042
39,40,-7.778150859505682,9.522386434923646e-08,0,3.5260821373839235e-07,276,480.0,1216,253,253,"d_q_exc_[2, 5]_[10, 11]","[[2, 5], [10, 11]]",0.0003526420173447716
40,41,-7.77815094056452,8.105883786413415e-08,2,2.715493758742582e-07,203,493.0,1249,264,264,"d_q_exc_[0, 5]_[1, 2]","[[0, 5], [1, 2]]",0.19224624220006303
41,42,-7.7781509897296965,4.916517681863297e-08,8,2.2238419905562523e-07,233,506.0,1282,275,275,"d_q_exc_[0, 11]_[3, 10]","[[0, 11], [3, 10]]",-0.0007831283389181012
42,43,-7.77815102312872,3.339902310273146e-08,5,1.8898517595289377e-07,308,519.0,1315,286,286,"d_q_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",0.00021239232350856311
43,44,-7.7781510590288905,3.590017083610064e-08,4,1.5308500511679313e-07,282,532.0,1348,286,286,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-6.109055193271213e-05
44,45,-7.778151081909944,2.2881053496348613e-08,3,1.3020395162044451e-07,189,545.0,1381,297,297,"d_q_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",-0.00015025776780543367
45,46,-7.7781511140208215,3.211087751253672e-08,2,9.80930741079078e-08,146,558.0,1414,308,308,"d_q_exc_[0, 1]_[2, 5]","[[0, 1], [2, 5]]",-8.424850605913477e-05
46,47,-7.778151125178477,1.1157655244176112e-08,2,8.693541886373168e-08,123,571.0,1447,319,319,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0013281753436068823
47,48,-7.778151144460297,1.92818205846379e-08,2,6.765359827909379e-08,344,584.0,1480,330,330,"d_q_exc_[0, 5]_[2, 11]","[[0, 5], [2, 11]]",0.004782776196429847
48,49,-7.778151185549185,4.10888878477067e-08,7,2.6564710431387084e-08,380,597.0,1513,330,330,"d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.0006698809106869134
49,50,-7.77815119863318,1.3083995220597444e-08,8,1.348071521078964e-08,351,610.0,1546,330,330,"d_q_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",-0.010173074820588254
50,51,-7.778151200253422,1.6202417185695595e-09,1,1.186047349222008e-08,123,623.0,1579,341,341,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.0004439921952120061
51,52,-7.7781512034292675,3.1758453644670226e-09,3,8.684628127753058e-09,359,636.0,1612,341,341,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.04821438789262494
52,53,-7.7781512050090225,1.579754993485949e-09,0,7.104873134267109e-09,285,649.0,1645,341,341,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.04433059102122744
53,54,-7.778151205150153,1.411306627119302e-10,0,6.963742471555179e-09,84,662.0,1678,341,341,"d_q_exc_[4, 11]_[8, 9]","[[4, 11], [8, 9]]",-5.7023516893650426e-05
54,55,-7.7781512053643675,2.14214423976955e-10,2,6.749528047578224e-09,214,675.0,1711,341,341,"d_q_exc_[2, 11]_[6, 7]","[[2, 11], [6, 7]]",-0.00016933270870534925
55,56,-7.778151205547553,1.8318502270631143e-10,5,6.566343024871912e-09,184,678.0,1718,341,341,s_q_exc_2_4,"[[2], [4]]",2.8964048104863364e-05
56,57,-7.778151206197175,6.496225779528686e-10,0,5.916720446919044e-09,184,691.0,1751,341,341,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.013643056292241395
