,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.646626699691855,11.034462485516993,0,0.13324545860832515,88,3.0,7,3,4,s_q_exc_3_5,"[[3], [5]]",1.058591708929027
1,2,-7.705483809118106,0.058857109426250886,4,0.07438834918207426,11,16.0,40,11,13,"d_q_exc_[2, 5]_[3, 4]","[[2, 5], [3, 4]]",0.7611529549222833
2,3,-7.732234384622658,0.026750575504552287,4,0.04763777367752198,12,19.0,47,11,14,s_q_exc_3_11,"[[3], [11]]",0.5586919225732142
3,4,-7.76758484886821,0.03535046424555155,1,0.012287309431970428,22,32.0,80,22,24,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",1.5711653098828486
4,5,-7.775684977944266,0.008100129076056284,1,0.004187180355914144,21,45.0,113,28,35,"d_q_exc_[3, 10]_[4, 11]","[[3, 10], [4, 11]]",-0.9513335148097037
5,6,-7.779419912674935,0.0037349347306685488,7,0.0004522456252455953,25,58.0,146,39,46,"d_q_exc_[3, 4]_[5, 10]","[[3, 4], [5, 10]]",-0.39866800997033097
6,7,-7.779480590559223,6.0677884288651285e-05,0,0.000391567740956944,22,61.0,153,39,46,s_q_exc_1_11,"[[1], [11]]",-0.018163438503377278
7,8,-7.779538718142199,5.81275829754091e-05,1,0.0003334401579815349,23,74.0,186,39,46,"d_q_exc_[0, 11]_[1, 10]","[[0, 11], [1, 10]]",-0.779035278755101
8,9,-7.779582684812093,4.396666989414655e-05,0,0.0002894734880873884,40,87.0,219,45,56,"d_q_exc_[0, 3]_[1, 4]","[[0, 3], [1, 4]]",1.9361088554933856
9,10,-7.779604337188182,2.16523760894205e-05,1,0.0002678211119979679,66,100.0,252,45,56,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.8118887772354251
10,11,-7.779623718576218,1.9381388035810687e-05,3,0.0002484397239621572,66,113.0,285,45,56,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",0.0008663092335229886
11,12,-7.779645524316853,2.1805740635372217e-05,0,0.00022663398332678497,86,126.0,318,45,56,"d_q_exc_[0, 5]_[1, 2]","[[0, 5], [1, 2]]",-1.8030989249268776
12,13,-7.779664421216737,1.8896899883991125e-05,1,0.00020773708344279385,70,139.0,351,45,56,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0028584937163852915
13,14,-7.779683194967906,1.8773751168765784e-05,0,0.00018896333227402806,84,152.0,384,55,56,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-5.85680802405555e-07
14,15,-7.7797005808611,1.7385893193555546e-05,0,0.00017157743908047252,88,165.0,417,66,66,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0005775751464637788
15,16,-7.779715266335416,1.4685474316600278e-05,0,0.00015689196476387224,77,178.0,450,66,66,"d_q_exc_[1, 4]_[2, 5]","[[1, 4], [2, 5]]",-0.002565798681003646
16,17,-7.779728173873356,1.2907537939810254e-05,1,0.00014398442682406198,91,191.0,483,66,74,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.007075329628696707
17,18,-7.779740572024557,1.239815120079868e-05,0,0.0001315862756232633,72,204.0,516,77,77,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.006443199707898324
18,19,-7.7797564479251085,1.5875900551520772e-05,1,0.00011571037507174253,107,217.0,549,88,88,"d_q_exc_[0, 11]_[1, 4]","[[0, 11], [1, 4]]",-0.9460863567502156
19,20,-7.779765043408098,8.59548298937085e-06,0,0.00010711489208237168,93,230.0,582,99,99,"d_q_exc_[0, 11]_[2, 3]","[[0, 11], [2, 3]]",0.009500026811974841
20,21,-7.779773241449407,8.198041308915549e-06,6,9.891685077345613e-05,167,243.0,615,99,99,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.3546763993350934
21,22,-7.779791595675348,1.8354225940875324e-05,7,8.056262483258081e-05,165,256.0,648,99,99,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.5468713927188844
22,23,-7.7798142418016845,2.264612633684493e-05,0,5.791649849573588e-05,142,269.0,681,99,99,"d_q_exc_[2, 10]_[4, 5]","[[2, 10], [4, 5]]",3.141592653631934
23,24,-7.779836176324962,2.193452327770018e-05,4,3.59819752180357e-05,177,282.0,714,99,99,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",-0.7814155755801353
24,25,-7.779848134302276,1.1957977314125401e-05,0,2.40239979039103e-05,143,295.0,747,99,99,"d_q_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",0.0015080872590481783
25,26,-7.779854295693007,6.161390730952121e-06,0,1.7862607172958178e-05,95,308.0,780,110,110,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.003551630846178421
26,27,-7.779857721174021,3.425481013508147e-06,3,1.4437126159450031e-05,143,321.0,813,121,121,"d_q_exc_[0, 3]_[2, 5]","[[0, 3], [2, 5]]",-0.01118511553465623
27,28,-7.7798622169597715,4.495785750791015e-06,3,9.941340408659016e-06,144,334.0,846,132,132,"d_q_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",0.01291758339617992
28,29,-7.779864741467567,2.5245077956981277e-06,0,7.416832612960889e-06,145,347.0,879,143,143,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.0020807317530819464
29,30,-7.779867182244213,2.4407766456846502e-06,7,4.976055967276238e-06,150,360.0,912,154,154,"d_q_exc_[0, 11]_[5, 10]","[[0, 11], [5, 10]]",0.0012072693272309886
30,31,-7.7798681483983865,9.661541735539458e-07,8,4.0099017937222925e-06,185,373.0,945,154,154,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-1.0436829178869445
31,32,-7.779869318745616,1.1703472297952544e-06,8,2.839554563927038e-06,186,376.0,952,157,158,s_q_exc_0_4,"[[0], [4]]",0.002718326547824954
32,33,-7.7798704504500575,1.1317044412706423e-06,2,1.7078501226563958e-06,199,389.0,985,168,169,"d_q_exc_[0, 5]_[1, 4]","[[0, 5], [1, 4]]",-0.9361186192958625
33,34,-7.779870638948144,1.8849808647303234e-07,0,1.5193520361833635e-06,132,402.0,1018,168,169,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.3756616031378595
34,35,-7.7798717781229705,1.1391748264699686e-06,8,3.8017720971339486e-07,187,415.0,1051,179,180,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0028826768349626583
35,36,-7.779871885007504,1.068845332241608e-07,0,2.7329267648923405e-07,216,428.0,1084,179,180,"d_q_exc_[1, 10]_[4, 11]","[[1, 10], [4, 11]]",0.016572956898463425
36,37,-7.7798719255279165,4.0520412802891315e-08,2,2.3277226368634274e-07,168,441.0,1117,179,180,"d_q_exc_[1, 2]_[3, 10]","[[1, 2], [3, 10]]",-0.006019289080080007
37,38,-7.779871959623928,3.409601134762852e-08,4,1.9867625233871422e-07,261,454.0,1150,179,180,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.016330337196660806
38,39,-7.77987204325318,8.362925196792048e-08,8,1.1504700037079374e-07,229,467.0,1183,190,191,"d_q_exc_[0, 5]_[4, 11]","[[0, 5], [4, 11]]",-0.007937266532662303
39,40,-7.779872074912255,3.165907536128998e-08,0,8.338792500950376e-08,280,480.0,1216,201,202,"d_q_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",-0.0003573572165375357
40,41,-7.779872084141277,9.229021991075115e-09,8,7.415890301842865e-08,258,493.0,1249,212,213,"d_q_exc_[0, 5]_[2, 3]","[[0, 5], [2, 3]]",0.003404072569972964
41,42,-7.779872106442624,2.23013465472377e-08,7,5.1857556471190946e-08,262,506.0,1282,212,213,"d_q_exc_[1, 2]_[3, 4]","[[1, 2], [3, 4]]",-0.007790716450428387
42,43,-7.779872119651266,1.320864218001816e-08,4,3.864891429117279e-08,336,519.0,1315,223,224,"d_q_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",0.00045240884445836945
43,44,-7.77987212160336,1.9520944860573763e-09,7,3.669681980511541e-08,160,532.0,1348,223,224,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.09483321574670453
44,45,-7.779872140560019,1.8956658465185683e-08,5,1.7740161339929728e-08,286,545.0,1381,223,224,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.10179488179697038
45,46,-7.779872141576713,1.0166942843170546e-09,0,1.6723467055612673e-08,186,558.0,1414,234,235,"d_q_exc_[0, 1]_[3, 4]","[[0, 1], [3, 4]]",-0.0014642156524672257
46,47,-7.779872142200011,6.232978577713766e-10,0,1.6100169197841296e-08,80,571.0,1447,245,246,"d_q_exc_[0, 1]_[2, 5]","[[0, 1], [2, 5]]",-0.00022289618624682795
47,48,-7.779872143570608,1.3705969692523468e-09,0,1.472957222858895e-08,101,584.0,1480,256,257,"d_q_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",0.00021015654702191276
48,49,-7.77987214445896,8.883516144919668e-10,0,1.3841220614096983e-08,122,597.0,1513,267,268,"d_q_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",-0.00013102169552313026
49,50,-7.779872144932628,4.736682157613359e-10,2,1.3367552398335647e-08,197,610.0,1546,267,268,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.024632295824728295
50,51,-7.779872145230794,2.9816593638543054e-10,3,1.3069386461950216e-08,226,623.0,1579,267,268,"d_q_exc_[1, 10]_[2, 11]","[[1, 10], [2, 11]]",-0.002023132930457366
51,52,-7.779872146677608,1.4468142239820736e-09,1,1.1622572237968143e-08,364,636.0,1612,267,268,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.026531261841750628
52,53,-7.779872146777546,9.993783578465809e-11,2,1.1522634402183485e-08,76,649.0,1645,267,268,"d_q_exc_[2, 5]_[10, 11]","[[2, 5], [10, 11]]",-5.3280339499802855e-05
53,54,-7.779872146820098,4.2552628087833e-11,0,1.1480081774095652e-08,27,662.0,1678,267,268,"d_q_exc_[4, 11]_[8, 9]","[[4, 11], [8, 9]]",-1.31089651116517e-05
54,55,-7.779872148343152,1.523053683172293e-09,9,9.957028090923359e-09,222,675.0,1711,278,279,"d_q_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",-0.0006055040942580565
55,56,-7.7798721483982956,5.5143445365501975e-11,6,9.901884645557857e-09,164,688.0,1744,278,279,"d_q_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",0.00048409616902105355
56,57,-7.779872148561026,1.6273027370061754e-10,8,9.73915437185724e-09,223,701.0,1777,289,290,"d_q_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",3.1779248844496355e-05
57,58,-7.779872155395678,6.8346519555007035e-09,8,2.904502416356536e-09,402,704.0,1784,289,290,s_q_exc_1_3,"[[1], [3]]",0.0028574349847941315
58,59,-7.779872155841523,4.4584513858580976e-10,1,2.458657277770726e-09,248,717.0,1817,289,290,"d_q_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",0.0004460805165172267
59,60,-7.779872157500257,1.6587344831009432e-09,6,7.999227946697829e-10,325,730.0,1850,300,301,"d_q_exc_[0, 1]_[3, 4]","[[0, 1], [3, 4]]",0.0016916357416609726
60,61,-7.779872157603276,1.0301892672259783e-10,9,6.969038679471851e-10,231,733.0,1857,300,301,s_q_exc_4_10,"[[4], [10]]",0.00013635389484073618
61,62,-7.779872157624165,2.0889068252927245e-11,3,6.760147996942578e-10,160,746.0,1890,311,312,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.00012407615724547495
62,63,-7.7798721576301695,6.0040861171728466e-12,7,6.70010713577085e-10,40,759.0,1923,322,323,"d_q_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",-0.00037672220375219964
63,64,-7.779872157748557,1.183870779186691e-10,6,5.516236356584159e-10,285,772.0,1956,322,323,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.007275439804614189
64,65,-7.779872157756027,7.470468688097753e-12,0,5.441531669703181e-10,87,785.0,1989,333,334,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.00013296852272642824
65,66,-7.779872157757305,1.2780887459484802e-12,0,5.428750782243696e-10,49,798.0,2022,333,334,"d_q_exc_[3, 10]_[6, 7]","[[3, 10], [6, 7]]",-9.702504903072927e-06
66,67,-7.779872157846285,8.897949044239795e-11,4,4.538955877819717e-10,148,801.0,2029,333,334,s_q_exc_1_5,"[[1], [5]]",0.0009044829027376343
67,68,-7.77987215784859,2.305711177541525e-12,8,4.5158987660443017e-10,37,814.0,2062,344,345,"d_q_exc_[0, 11]_[4, 5]","[[0, 11], [4, 5]]",0.00032071367091570714
68,69,-7.7798721578950465,4.645617224241505e-11,8,4.051337043620151e-10,128,817.0,2069,347,349,s_q_exc_0_2,"[[0], [2]]",-0.00017209399775182586
69,70,-7.779872157916835,2.1788792992083472e-11,0,3.8334491136993165e-10,177,830.0,2102,347,349,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.00045482514983084864
70,71,-7.779872157952228,3.539302184663029e-11,0,3.4795188952330136e-10,214,843.0,2135,347,349,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.00044045721394017515
71,72,-7.7798721581041645,1.5193624136600192e-10,1,1.9601564815729944e-10,222,856.0,2168,358,360,"d_q_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",-0.00035415780671556345
72,73,-7.779872158157663,5.3498538932217343e-11,3,1.425171092250821e-10,155,869.0,2201,369,371,"d_q_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",0.0001939921778905405
73,74,-7.779872158200222,4.25588453367709e-11,7,9.99582638883112e-11,147,872.0,2208,372,375,s_q_exc_0_10,"[[0], [10]]",-0.000143332438721858
74,75,-7.77987215825342,5.31983346263587e-11,6,4.675992926195249e-11,148,885.0,2241,383,386,"d_q_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",-0.00018619569105077295
75,76,-7.779872158274289,2.0868640149274142e-11,7,2.589128911267835e-11,210,898.0,2274,383,386,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",9.603858772492189e-05
76,77,-7.779872158274888,5.995204332975845e-13,0,2.5291768679380766e-11,58,911.0,2307,383,386,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",7.199302749771611e-05
