,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
43,44,-15.094336622972397,2.0917901881745138e-06,8,0.23725545122601766,157,502.0,1270,139,158,"d_q_exc_[1, 4]_[3, 12]","[[1, 4], [3, 12]]",0.0015367776722667395
44,45,-15.094338625183623,2.002211225260453e-06,0,0.2372534490147924,55,515.0,1303,148,165,"d_q_exc_[1, 4]_[5, 10]","[[1, 4], [5, 10]]",0.01073322291007098
45,46,-15.094339703497594,1.078313971447642e-06,9,0.23725237070082095,103,528.0,1336,149,165,"d_q_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",-0.0001284036812908686
46,47,-15.094340798849867,1.0953522728840426e-06,2,0.23725127534854806,91,541.0,1369,159,176,"d_q_exc_[1, 12]_[10, 13]","[[1, 12], [10, 13]]",0.004646556377917588
47,48,-15.094351704177011,1.0905327144428156e-05,3,0.23724037002140363,73,554.0,1402,160,176,"d_q_exc_[0, 11]_[4, 13]","[[0, 11], [4, 13]]",-0.10511480010902288
48,49,-15.094362839965973,1.1135788961169624e-05,1,0.23722923423244247,124,567.0,1435,171,176,"d_q_exc_[0, 11]_[5, 12]","[[0, 11], [5, 12]]",-0.090754807379831
49,50,-15.094363877168686,1.0372027130500783e-06,0,0.23722819702972942,109,580.0,1468,182,184,"d_q_exc_[0, 5]_[3, 12]","[[0, 5], [3, 12]]",0.007448463926221013
50,51,-15.09436434942428,4.7225559463015543e-07,1,0.23722772477413478,128,583.0,1475,182,184,s_q_exc_1_11,"[[1], [11]]",-0.006908245843320926
51,52,-15.094364937322524,5.878982438645153e-07,2,0.23722713687589092,121,596.0,1508,193,195,"d_q_exc_[0, 5]_[3, 4]","[[0, 5], [3, 4]]",-0.0962653856281966
52,53,-15.094365079725364,1.4240283974231716e-07,7,0.23722699447305118,90,609.0,1541,204,206,"d_q_exc_[0, 5]_[2, 13]","[[0, 5], [2, 13]]",-0.008652253241369524
53,54,-15.094368022362865,2.9426375007801653e-06,1,0.2372240518355504,110,622.0,1574,204,206,"d_q_exc_[1, 11]_[5, 13]","[[1, 11], [5, 13]]",-0.04920573790020445
54,55,-15.094370925843938,2.90348107334637e-06,2,0.23722114835447705,196,635.0,1607,215,217,"d_q_exc_[0, 10]_[4, 12]","[[0, 10], [4, 12]]",0.08551431750718466
55,56,-15.094371028341492,1.0249755355573598e-07,0,0.2372210458569235,251,648.0,1640,215,217,"d_q_exc_[1, 4]_[2, 13]","[[1, 4], [2, 13]]",-0.005813936338387385
56,57,-15.094372034336253,1.0059947612717224e-06,2,0.23722003986216222,147,661.0,1673,226,228,"d_q_exc_[0, 3]_[5, 12]","[[0, 3], [5, 12]]",0.03268911584470161
57,58,-15.094372861498114,8.271618607835762e-07,1,0.23721921270030144,106,674.0,1706,237,239,"d_q_exc_[0, 3]_[4, 13]","[[0, 3], [4, 13]]",-0.028960012092164547
58,59,-15.09437296231144,1.0081332568745438e-07,2,0.23721911188697575,132,687.0,1739,248,250,"d_q_exc_[0, 4]_[2, 12]","[[0, 4], [2, 12]]",0.04880260115996794
59,60,-15.094373051532063,8.922062377791917e-08,7,0.23721902266635198,112,700.0,1772,248,250,"d_q_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",0.000677128144094424
60,61,-15.09437312047321,6.894114612521207e-08,7,0.23721895372520585,120,713.0,1805,259,261,"d_q_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",-0.004690345992763236
61,62,-15.094373525454994,4.049817849960391e-07,0,0.23721854874342085,162,726.0,1838,259,261,"d_q_exc_[1, 10]_[4, 13]","[[1, 10], [4, 13]]",-0.01603355419334319
62,63,-15.094373570061299,4.46063044279299e-08,4,0.23721850413711643,129,739.0,1871,259,261,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.0016872074194597539
63,64,-15.094373638564372,6.850307343597706e-08,1,0.237218435634043,153,752.0,1904,259,261,"d_q_exc_[1, 5]_[3, 13]","[[1, 5], [3, 13]]",0.004491512818743796
64,65,-15.094373703236382,6.467200996951306e-08,6,0.23721837096203302,153,765.0,1937,270,272,"d_q_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",-0.0003859763747307253
65,66,-15.094373736337324,3.310094243147432e-08,9,0.2372183378610906,140,778.0,1970,281,283,"d_q_exc_[0, 4]_[10, 12]","[[0, 4], [10, 12]]",0.00404596611790231
66,67,-15.09437379597106,5.963373617134948e-08,0,0.23721827822735442,192,791.0,2003,281,283,"d_q_exc_[2, 12]_[4, 10]","[[2, 12], [4, 10]]",0.0053267509169989185
67,68,-15.094373841541849,4.55707880320233e-08,4,0.23721823265656639,221,804.0,2036,292,294,"d_q_exc_[0, 5]_[4, 11]","[[0, 5], [4, 11]]",-0.012253327025092632
68,69,-15.094373922261473,8.071962476208228e-08,1,0.23721815193694162,200,817.0,2069,292,294,"d_q_exc_[1, 10]_[5, 12]","[[1, 10], [5, 12]]",-0.005206058430695035
69,70,-15.094373979393684,5.713221007397351e-08,1,0.23721809480473155,157,830.0,2102,292,294,"d_q_exc_[1, 2]_[5, 12]","[[1, 2], [5, 12]]",0.003991346292229901
