,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
75,76,-15.193551861227306,4.6303476608500205e-09,5,1.9293997510771987e-08,530,948.0,2404,443,444,"d_q_exc_[2, 12]_[10, 4]","[[2, 12], [10, 4]]",-0.2112298192769139
76,77,-15.193551865323048,4.095742411891479e-09,9,1.519825509888051e-08,479,961.0,2437,443,444,"d_q_exc_[3, 12]_[10, 13]","[[3, 12], [10, 13]]",0.0643626780011191
77,78,-15.1935518688221,3.4990517150390588e-09,1,1.169920338384145e-08,459,974.0,2470,443,444,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.06077020877831669
78,79,-15.193551871380034,2.5579343088111273e-09,1,9.141269075030323e-09,539,987.0,2503,454,455,"d_q_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",0.0006801702448121208
79,80,-15.193551872266715,8.866809508845108e-10,6,8.254588124145812e-09,507,1000.0,2536,454,455,"d_q_exc_[1, 5]_[11, 13]","[[1, 5], [11, 13]]",-0.0006759795558997654
80,81,-15.193551873148456,8.817409025141387e-10,9,7.372847221631673e-09,415,1003.0,2543,457,459,s_q_exc_0_2,"[[0], [2]]",0.02909734554345832
81,82,-15.193551877255974,4.107517881379863e-09,2,3.2653293402518102e-09,493,1016.0,2576,468,470,"d_q_exc_[0, 10]_[4, 12]","[[0, 10], [4, 12]]",0.011323833043944083
82,83,-15.193551877477729,2.2175505876020907e-10,0,3.043574281491601e-09,404,1029.0,2609,479,481,"d_q_exc_[0, 3]_[2, 11]","[[0, 3], [2, 11]]",0.00035212189637049064
83,84,-15.193551877927836,4.5010750682195066e-10,2,2.5934667746696505e-09,533,1042.0,2642,490,492,"d_q_exc_[0, 3]_[4, 13]","[[0, 3], [4, 13]]",8.89352838839516e-05
84,85,-15.193551877977265,4.942890541315137e-11,0,2.544037869256499e-09,274,1055.0,2675,501,503,"d_q_exc_[0, 3]_[5, 12]","[[0, 3], [5, 12]]",-9.873097957261101e-05
85,86,-15.193551877978113,8.473222123939195e-13,0,2.543190547044105e-09,78,1068.0,2708,512,514,"d_q_exc_[0, 11]_[4, 13]","[[0, 11], [4, 13]]",-3.2313602531217794e-06
