,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.705483809118103,11.093318308413387,0,0.07438834918228654,3,3.0,7,3,4,s_q_exc_2_5,"[[2], [5]]",-1.5707963267904534
1,2,-7.764297760199928,0.058813951081824634,0,0.015574398100461906,51,6.0,14,3,4,s_q_exc_3_11,"[[3], [11]]",0.4680208499388493
2,3,-7.779419912674937,0.015122152475009365,0,0.0004522456254525409,13,9.0,21,6,8,s_q_exc_3_5,"[[3], [5]]",-0.9520197441426177
3,4,-7.779493778979733,7.386630479544465e-05,0,0.00037837932065709623,54,22.0,54,11,13,"d_q_exc_[0, 11]_[5, 10]","[[0, 11], [5, 10]]",0.02765669459763341
4,5,-7.779550534587841,5.675560810836089e-05,0,0.00032162371254873534,14,25.0,61,12,16,s_q_exc_1_11,"[[1], [11]]",-0.006549636032182224
5,6,-7.779602340235362,5.180564752116368e-05,0,0.00026981806502757166,30,38.0,94,22,23,"d_q_exc_[5, 10]_[8, 9]","[[5, 10], [8, 9]]",1.1071031029176759
6,7,-7.779653395213142,5.105497777968537e-05,1,0.0002187630872478863,63,51.0,127,22,23,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",-0.5480459355175564
7,8,-7.77968574471069,3.2349497548267436e-05,0,0.00018641358969961885,44,64.0,160,22,23,"d_q_exc_[0, 3]_[1, 10]","[[0, 3], [1, 10]]",0.4749809847280549
8,9,-7.779711868170576,2.612345988595166e-05,0,0.0001602901298136672,56,77.0,193,33,33,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.007992045071057207
9,10,-7.779732198452816,2.0330282239910957e-05,4,0.00013995984757375624,74,90.0,226,33,33,"d_q_exc_[2, 5]_[6, 7]","[[2, 5], [6, 7]]",-1.583784827865701
10,11,-7.779753398373726,2.1199920910319747e-05,0,0.00011875992666343649,61,103.0,259,44,44,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0030636905177046218
11,12,-7.77980064346027,4.724508654341264e-05,6,7.151484012002385e-05,93,116.0,292,44,44,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",-0.7040939680550161
12,13,-7.779822350431454,2.170697118408782e-05,5,4.980786893593603e-05,111,129.0,325,44,44,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",0.6288303356156439
