,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.707530963947903,15.193203506652958,0,0.05615514826824519,3,3.0,7,3,4,s_q_exc_2_4,"[[2], [4]]",1.355284584505559
1,2,-7.740234775781846,0.032703811833942886,0,0.023451336434302306,7,6.0,14,3,4,s_q_exc_3_11,"[[3], [11]]",0.7994406770827877
2,3,-7.751510968661521,0.011276192879675406,3,0.0121751435546269,22,19.0,47,14,15,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-7.056100498902241e-05
3,4,-7.753177843798688,0.001666875137166457,6,0.010508268417460442,23,32.0,80,25,26,"d_q_exc_[2, 5]_[4, 11]","[[2, 5], [4, 11]]",-1.3348540314520418
4,5,-7.759051671362938,0.005873827564250256,7,0.004634440853210187,35,45.0,113,36,37,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",1.570953445858092
5,6,-7.762973963746688,0.003922292383750303,2,0.0007121484694598834,26,58.0,146,47,48,"d_q_exc_[2, 11]_[3, 10]","[[2, 11], [3, 10]]",0.6876734261993724
6,7,-7.763106916972506,0.00013295322581807767,0,0.0005791952436418057,23,61.0,153,47,48,s_q_exc_1_11,"[[1], [11]]",-0.010159114795925555
7,8,-7.7632302988026884,0.0001233818301820122,1,0.00045581341345979354,37,74.0,186,47,48,"d_q_exc_[0, 11]_[1, 10]","[[0, 11], [1, 10]]",-0.8623208279954941
8,9,-7.763297292358774,6.69935560857482e-05,0,0.00038881985737404534,37,87.0,219,47,48,"d_q_exc_[1, 11]_[3, 5]","[[1, 11], [3, 5]]",0.040141599028422785
9,10,-7.763358967736547,6.167537777290732e-05,0,0.000327144479601138,41,100.0,252,52,54,"d_q_exc_[0, 10]_[2, 4]","[[0, 10], [2, 4]]",0.04943899526940196
10,11,-7.76340305432125,4.408658470289595e-05,0,0.00028305789489824207,92,113.0,285,52,54,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.25195492400955566
11,12,-7.76347386478643,7.081046518031542e-05,8,0.00021224742971792665,66,126.0,318,63,65,"d_q_exc_[2, 11]_[5, 10]","[[2, 11], [5, 10]]",0.13580830789712664
12,13,-7.763522266675564,4.840188913401988e-05,1,0.00016384554058390677,62,139.0,351,63,65,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",0.7784587652371415
13,14,-7.763542885284897,2.0618609332778703e-05,0,0.00014322693125112806,38,152.0,384,68,71,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.0017676851032697475
14,15,-7.763562973506988,2.0088222091096952e-05,1,0.0001231387091600311,64,165.0,417,68,71,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0019518223655409393
15,16,-7.763582936508702,1.9963001713918516e-05,0,0.0001031757074461126,66,178.0,450,68,71,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0016342747735402464
16,17,-7.763599443342814,1.6506834112028912e-05,0,8.666887333408368e-05,55,191.0,483,68,71,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.002107487367987715
17,18,-7.76361318275982,1.3739417005886878e-05,1,7.29294563281968e-05,75,204.0,516,79,82,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.3343505249631878
18,19,-7.763626855204279,1.3672444459267297e-05,0,5.925701186892951e-05,98,217.0,549,90,93,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.41763456805539984
19,20,-7.763637293666496,1.0438462216377786e-05,5,4.8818549652551724e-05,112,230.0,582,90,93,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.16871040987317865
20,21,-7.763643935807748,6.642141252122258e-06,0,4.2176408400429466e-05,97,243.0,615,96,103,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.0070404571480629004
21,22,-7.763650492172727,6.556364978926865e-06,0,3.56200434215026e-05,137,256.0,648,96,103,"d_q_exc_[1, 10]_[4, 11]","[[1, 10], [4, 11]]",-0.012663362605893186
22,23,-7.763655844478148,5.35230542109133e-06,0,3.026773800041127e-05,128,269.0,681,96,103,"d_q_exc_[0, 5]_[4, 11]","[[0, 5], [4, 11]]",-0.0017785012523769865
23,24,-7.763660985794621,5.1413164730007566e-06,0,2.5126421527410514e-05,135,282.0,714,107,114,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.14055071417153445
24,25,-7.763665514630233,4.528835612305215e-06,0,2.05975859151053e-05,135,295.0,747,113,124,"d_q_exc_[1, 2]_[3, 10]","[[1, 2], [3, 10]]",0.001763152886664915
25,26,-7.763670115550712,4.600920479269632e-06,7,1.5996665435835666e-05,153,308.0,780,113,124,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.3412875905600028
26,27,-7.763674193565009,4.078014296915455e-06,2,1.1918651138920211e-05,127,321.0,813,118,130,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.009618290557917917
27,28,-7.763680245378932,6.051813922880456e-06,8,5.866837216039755e-06,229,334.0,846,118,130,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.38534816395704147
28,29,-7.7636825203861815,2.2750072492527806e-06,0,3.5918299667869746e-06,204,347.0,879,118,130,"d_q_exc_[1, 4]_[3, 10]","[[1, 4], [3, 10]]",0.033432110713281435
29,30,-7.763683766242361,1.2458561791106604e-06,2,2.3459737876763143e-06,218,360.0,912,118,130,"d_q_exc_[0, 3]_[1, 10]","[[0, 3], [1, 10]]",0.17171492458248933
30,31,-7.76368501360337,1.2473610091490173e-06,2,1.098612778527297e-06,175,373.0,945,118,130,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.6037783248174704
31,32,-7.763685371358112,3.5775474227506265e-07,1,7.408580362522343e-07,249,386.0,978,123,136,"d_q_exc_[1, 10]_[2, 3]","[[1, 10], [2, 3]]",-0.003281864661382027
32,33,-7.763685541969749,1.706116368183075e-07,2,5.702463994339269e-07,220,399.0,1011,123,136,"d_q_exc_[1, 5]_[3, 11]","[[1, 5], [3, 11]]",-0.0008993089359634947
33,34,-7.763685861896627,3.1992687787862906e-07,0,2.503195215552978e-07,184,412.0,1044,123,136,"d_q_exc_[0, 11]_[3, 10]","[[0, 11], [3, 10]]",-0.0032904859337224133
34,35,-7.763685931553978,6.965735099839776e-08,0,1.8066217055690004e-07,129,425.0,1077,132,142,"d_q_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",4.975996453691239e-05
35,36,-7.763685956344439,2.4790461239376782e-08,0,1.5587170931752325e-07,134,438.0,1110,143,152,"d_q_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",0.00027697343866627834
36,37,-7.763685971726082,1.538164351444493e-08,0,1.4049006580307832e-07,144,451.0,1143,154,154,"d_q_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",5.648475713592539e-05
37,38,-7.7636859808469305,9.120848076804577e-09,2,1.3136921772627375e-07,107,464.0,1176,165,165,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.00200486398468366
38,39,-7.763685988647579,7.800648127442855e-09,9,1.235685695988309e-07,142,477.0,1209,176,176,"d_q_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",0.0029489055281961
39,40,-7.763686043253291,5.460571195214925e-08,6,6.896285764668164e-08,267,490.0,1242,176,176,"d_q_exc_[1, 10]_[4, 11]","[[1, 10], [4, 11]]",0.0059291049818881655
40,41,-7.763686055337473,1.208418254350363e-08,9,5.687867510317801e-08,227,503.0,1275,176,176,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.061892864433103566
41,42,-7.76368606359836,8.260887085498325e-09,8,4.8617788017679686e-08,263,516.0,1308,176,184,"d_q_exc_[1, 2]_[3, 4]","[[1, 2], [3, 4]]",-0.00408802052463404
42,43,-7.7636860739413,1.0342939837926224e-08,9,3.827484817975346e-08,292,529.0,1341,176,195,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.00016703384130295132
43,44,-7.763686077632953,3.691653205351031e-09,8,3.458319497440243e-08,196,542.0,1374,187,205,"d_q_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",-9.587675747110174e-05
44,45,-7.76368608153225,3.899296885379044e-09,7,3.068389808902339e-08,222,555.0,1407,198,211,"d_q_exc_[0, 3]_[1, 4]","[[0, 3], [1, 4]]",0.032617260200360924
45,46,-7.7636860858107495,4.278499332599495e-09,4,2.6405398756423892e-08,376,568.0,1440,209,217,"d_q_exc_[0, 11]_[1, 2]","[[0, 11], [1, 2]]",0.0994024889892006
46,47,-7.763686087111128,1.3003784715692746e-09,1,2.5105020284854618e-08,233,581.0,1473,209,228,"d_q_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",0.0017284551921654264
47,48,-7.763686088059378,9.482503671165432e-10,9,2.4156769917738075e-08,229,594.0,1506,220,228,"d_q_exc_[0, 11]_[2, 3]","[[0, 11], [2, 3]]",0.0008954267024525946
48,49,-7.763686088402244,3.4286529171367874e-10,6,2.3813904626024396e-08,176,607.0,1539,231,238,"d_q_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",-6.000467282756727e-05
49,50,-7.76368608854778,1.4553602767364282e-10,0,2.3668368598350753e-08,161,620.0,1572,231,238,"d_q_exc_[2, 11]_[4, 5]","[[2, 11], [4, 5]]",0.0004345498400906134
50,51,-7.763686106863641,1.8315861716189374e-08,3,5.352506882161379e-09,472,633.0,1605,242,242,"d_q_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",0.005693313153711213
51,52,-7.763686107322448,4.588063262644937e-10,1,4.893700555896885e-09,106,646.0,1638,242,242,"d_q_exc_[3, 4]_[10, 11]","[[3, 4], [10, 11]]",-0.0001342481029973321
52,53,-7.763686109417955,2.095506879129516e-09,5,2.7981936767673687e-09,384,659.0,1671,242,249,"d_q_exc_[1, 10]_[2, 5]","[[1, 10], [2, 5]]",0.013123669279665035
53,54,-7.763686110594419,1.1764642593448116e-09,0,1.6217294174225572e-09,247,672.0,1704,253,259,"d_q_exc_[0, 1]_[2, 5]","[[0, 1], [2, 5]]",-0.00014977131012639512
54,55,-7.7636861109111415,3.1672264810822526e-10,8,1.305006769314332e-09,237,685.0,1737,264,264,"d_q_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",-0.001537791363895972
55,56,-7.763686111527752,6.166107624494543e-10,9,6.883960068648776e-10,287,698.0,1770,264,270,"d_q_exc_[1, 10]_[2, 11]","[[1, 10], [2, 11]]",-0.0012814984010090966
56,57,-7.763686111633185,1.0543299566734277e-10,0,5.829630111975348e-10,183,711.0,1803,264,281,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",9.495769944761047e-05
57,58,-7.763686111656766,2.3581137043038325e-11,0,5.593818741544965e-10,184,724.0,1836,264,292,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-3.883999958371796e-05
58,59,-7.763686111949799,2.930322651195638e-10,4,2.6634960903493266e-10,217,737.0,1869,264,303,"d_q_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",0.0015473184316711769
59,60,-7.7636861120316,8.180123245438153e-11,9,1.8454837658055112e-10,45,750.0,1902,275,313,"d_q_exc_[0, 1]_[3, 4]","[[0, 1], [3, 4]]",7.430434263490485e-05
60,61,-7.76368611208798,5.637978972572455e-11,1,1.2816858685482657e-10,185,763.0,1935,275,324,"d_q_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",0.0001024943357566787
61,62,-7.763686112090393,2.4131807663252403e-12,0,1.2575540608850133e-10,76,776.0,1968,275,324,"d_q_exc_[2, 11]_[8, 9]","[[2, 11], [8, 9]]",-3.1195850473251694e-05
62,63,-7.7636861120911105,7.176481631177012e-13,0,1.2503775792538363e-10,21,789.0,2001,286,324,"d_q_exc_[0, 5]_[2, 3]","[[0, 5], [2, 3]]",4.651515501976971e-06
