,n_shots,expectation_value,time,ref_result
0,1,-0.6560530442458272,1.1126391887664795,-0.8831724355928885
1,5,-0.7414577911892838,1.1426050662994385,-0.8831724355928885
2,10,-0.8146490407156802,1.1421568393707275,-0.8831724355928885
3,50,-0.8970097397238579,1.0532493591308594,-0.8831724355928885
4,100,-0.8484839859432902,1.1386265754699707,-0.8831724355928885
5,200,-0.8609422767468635,1.051650047302246,-0.8831724355928885
6,500,-0.9010960230535628,1.135507345199585,-0.8831724355928885
