,r,fci,hf,iqeb
0,0.5,-1.0551597946880176,-1.042996274751171,-1.0551597946880171
1,0.5789473684210527,-1.1077374144319547,-1.093264739357948,-1.1077374144319547
2,0.6578947368421053,-1.1313266802864475,-1.1141257099609443,-1.1313266802864463
3,0.7368421052631579,-1.137302736031204,-1.116915805532597,-1.137302736031205
4,0.8157894736842105,-1.1325821005534913,-1.1085031417921303,-1.1325821005534913
5,0.8947368421052632,-1.1214573149811629,-1.0931172147743728,-1.1214573149811635
6,0.9736842105263157,-1.106610352378864,-1.073362747667066,-1.1066103523788635
7,1.0526315789473684,-1.089761702443881,-1.050875674586788,-1.0897617024438815
8,1.131578947368421,-1.0720799009570336,-1.0267436886877763,-1.072079900957034
9,1.2105263157894737,-1.054409926581149,-1.0017465339934777,-1.0544099265811484
10,1.2894736842105263,-1.0373816811203929,-0.9764750422907056,-1.0373816811203935
11,1.3684210526315788,-1.0214555508627827,-0.9513849121285451,-1.021455550862783
12,1.4473684210526314,-1.0069438436711857,-0.9268235481206917,-1.0069438436711857
13,1.526315789473684,-0.994027430949493,-0.9030487545667354,-0.9940274309494929
14,1.6052631578947367,-0.9827741957511619,-0.8802452362916029,-0.9827741957511618
15,1.6842105263157894,-0.9731600781197693,-0.8585393357094951,-0.9731600781197691
16,1.763157894736842,-0.9650916044044067,-0.8380113110556907,-0.9650916044044064
17,1.8421052631578947,-0.9584283071048458,-0.8187049519621976,-0.9584283071048447
18,1.9210526315789473,-0.953003377168901,-0.800634942833687,-0.9530033771689022
19,2.0,-0.9486411121296499,-0.7837926540830407,-0.9486411121296494
