INFO 2021-03-17 22:49:16,162 q_exc type, prob_2=0, time_cx=0, backend=<class 'scripts.zhenghao.noisy_backends.QasmBackend'>, n_shots=1000000.0, method =automatic, optimizer=Nelder-Mead
INFO 2021-03-17 22:49:16,162 Adaptive is False
INFO 2021-03-17 22:49:16,163 Length of q_exc based ansatz is 1
INFO 2021-03-17 22:49:16,163 Noise model = None
INFO 2021-03-17 22:49:16,163 Backend is <class 'scripts.zhenghao.noisy_backends.QasmBackend'>, n_shots=1000000.0, method=automatic
INFO 2021-03-17 22:49:16,164 -----Running VQE for: H4-----
-----Number of electrons: 4-----
-----Number of orbitals: 8-----
-----Numeber of ansatz elements: 1-----
-----Ansatz type d_q_exc_[2, 3]_[4, 5]------
-----Statevector and energy calculated using <class 'scripts.zhenghao.noisy_backends.QasmBackend'>------
-----Optimizer Nelder-Mead------

INFO 2021-03-17 22:52:13,167 Iteration: 1. Energy -2.098679055194809.  Energy change -1.331e-04 , Iteration duration: 8.273124694824219e-05 Params: [0.]
INFO 2021-03-17 22:55:10,154 Iteration: 2. Energy -2.0984949510309887.  Energy change 1.841e-04 , Iteration duration: 177.00752568244934 Params: [0.00025]
INFO 2021-03-17 22:58:06,904 Iteration: 3. Energy -2.098526940614288.  Energy change -3.199e-05 , Iteration duration: 176.98740792274475 Params: [-0.00025]
INFO 2021-03-17 23:01:02,845 Iteration: 4. Energy -2.0984925216749852.  Energy change 3.442e-05 , Iteration duration: 176.75004649162292 Params: [-0.000125]
INFO 2021-03-17 23:03:58,732 Iteration: 5. Energy -2.097973724112473.  Energy change 5.188e-04 , Iteration duration: 175.94021272659302 Params: [0.000125]
INFO 2021-03-17 23:06:55,219 Iteration: 6. Energy -2.0986416628607354.  Energy change -6.679e-04 , Iteration duration: 175.8875961303711 Params: [-0.000125]
INFO 2021-03-17 23:09:51,927 Iteration: 7. Energy -2.098367139812807.  Energy change 2.745e-04 , Iteration duration: 176.48644042015076 Params: [-6.25e-05]
INFO 2021-03-17 23:12:48,784 Iteration: 8. Energy -2.0988911919841984.  Energy change -5.241e-04 , Iteration duration: 176.70883107185364 Params: [6.25e-05]
INFO 2021-03-17 23:15:44,682 Iteration: 9. Energy -2.097713365929799.  Energy change 1.178e-03 , Iteration duration: 176.85660982131958 Params: [0.000125]
INFO 2021-03-17 23:18:41,131 Iteration: 10. Energy -2.0986647292756793.  Energy change -9.514e-04 , Iteration duration: 175.89983987808228 Params: [3.125e-05]
INFO 2021-03-17 23:21:37,497 Iteration: 11. Energy -2.0984536473015507.  Energy change 2.111e-04 , Iteration duration: 176.44754123687744 Params: [3.125e-05]
INFO 2021-03-17 23:24:33,382 Iteration: 12. Energy -2.098976280160279.  Energy change -5.226e-04 , Iteration duration: 176.36572813987732 Params: [9.375e-05]
INFO 2021-03-17 23:27:29,356 Iteration: 13. Energy -2.0981659634661334.  Energy change 8.103e-04 , Iteration duration: 175.88500595092773 Params: [0.000125]
INFO 2021-03-17 23:30:26,414 Iteration: 14. Energy -2.098448692369026.  Energy change -2.827e-04 , Iteration duration: 175.97436618804932 Params: [0.000125]
INFO 2021-03-17 23:33:23,073 Iteration: 15. Energy -2.098444188302747.  Energy change 4.504e-06 , Iteration duration: 177.05820417404175 Params: [7.8125e-05]
INFO 2021-03-17 23:36:19,289 Iteration: 16. Energy -2.0981755268871884.  Energy change 2.687e-04 , Iteration duration: 176.6588830947876 Params: [7.8125e-05]
INFO 2021-03-17 23:39:15,081 Iteration: 17. Energy -2.098479995251898.  Energy change -3.045e-04 , Iteration duration: 176.21616768836975 Params: [0.00010938]
INFO 2021-03-17 23:42:11,433 Iteration: 18. Energy -2.0985674478762864.  Energy change -8.745e-05 , Iteration duration: 175.79171776771545 Params: [0.00010156]
INFO 2021-03-17 23:45:08,061 Iteration: 19. Energy -2.09845846191141.  Energy change 1.090e-04 , Iteration duration: 176.35253381729126 Params: [8.59375e-05]
INFO 2021-03-17 23:48:04,715 Iteration: 20. Energy -2.098937611490915.  Energy change -4.791e-04 , Iteration duration: 176.62756490707397 Params: [9.765625e-05]
INFO 2021-03-17 23:51:01,096 Iteration: 21. Energy -2.098477691358183.  Energy change 4.599e-04 , Iteration duration: 176.65408396720886 Params: [8.984375e-05]
INFO 2021-03-17 23:53:57,694 Iteration: 22. Energy -2.0987715940702376.  Energy change -2.939e-04 , Iteration duration: 176.38118290901184 Params: [9.5703125e-05]
INFO 2021-03-17 23:56:54,879 Iteration: 23. Energy -2.098240905822076.  Energy change 5.307e-04 , Iteration duration: 176.59797048568726 Params: [9.5703125e-05]
INFO 2021-03-17 23:59:51,432 Iteration: 24. Energy -2.0980551774822684.  Energy change 1.857e-04 , Iteration duration: 177.18480157852173 Params: [9.1796875e-05]
INFO 2021-03-18 00:02:48,408 Iteration: 25. Energy -2.098463089623439.  Energy change -4.079e-04 , Iteration duration: 176.55363154411316 Params: [9.47265625e-05]
INFO 2021-03-18 00:05:55,298 Iteration: 26. Energy -2.0991511925070556.  Energy change -6.881e-04 , Iteration duration: 176.97620582580566 Params: [9.27734375e-05]
INFO 2021-03-18 00:09:01,892 Iteration: 27. Energy -2.0984884091580778.  Energy change 6.628e-04 , Iteration duration: 186.8905804157257 Params: [9.1796875e-05]
INFO 2021-03-18 00:12:05,455 Iteration: 28. Energy -2.0987836057585274.  Energy change -2.952e-04 , Iteration duration: 186.59421563148499 Params: [9.1796875e-05]
INFO 2021-03-18 00:15:02,636 Iteration: 29. Energy -2.0983467805205525.  Energy change 4.368e-04 , Iteration duration: 183.5617241859436 Params: [9.32617188e-05]
INFO 2021-03-18 00:18:00,119 Iteration: 30. Energy -2.0982110348889536.  Energy change 1.357e-04 , Iteration duration: 177.1810085773468 Params: [9.32617188e-05]
INFO 2021-03-18 00:21:07,033 Iteration: 31. Energy -2.0987282057282144.  Energy change -5.172e-04 , Iteration duration: 177.48409414291382 Params: [9.22851563e-05]
INFO 2021-03-18 00:24:13,546 Iteration: 32. Energy -2.0985126977002824.  Energy change 2.155e-04 , Iteration duration: 186.9137065410614 Params: [9.25292969e-05]
INFO 2021-03-18 00:27:19,956 Iteration: 33. Energy -2.0980867142138426.  Energy change 4.260e-04 , Iteration duration: 186.51286792755127 Params: [9.30175781e-05]
INFO 2021-03-18 00:30:26,044 Iteration: 34. Energy -2.09907077952217.  Energy change -9.841e-04 , Iteration duration: 186.41001677513123 Params: [9.25292969e-05]
INFO 2021-03-18 00:33:33,241 Iteration: 35. Energy -2.0984113862638143.  Energy change 6.594e-04 , Iteration duration: 186.08876490592957 Params: [9.26513672e-05]
INFO 2021-03-18 00:36:40,148 Iteration: 36. Energy -2.098162276424405.  Energy change 2.491e-04 , Iteration duration: 187.19586610794067 Params: [9.28955078e-05]
INFO 2021-03-18 00:39:47,830 Iteration: 37. Energy -2.098600152090982.  Energy change -4.379e-04 , Iteration duration: 186.90711498260498 Params: [9.26513672e-05]
INFO 2021-03-18 00:42:54,161 Iteration: 38. Energy -2.0983124158951476.  Energy change 2.877e-04 , Iteration duration: 187.68262600898743 Params: [9.27124023e-05]
INFO 2021-03-18 00:46:00,632 Iteration: 39. Energy -2.098142342535663.  Energy change 1.701e-04 , Iteration duration: 186.3306019306183 Params: [9.28344727e-05]
INFO 2021-03-18 00:49:07,279 Iteration: 40. Energy -2.0988190648743306.  Energy change -6.767e-04 , Iteration duration: 186.4716637134552 Params: [9.27124023e-05]
INFO 2021-03-18 00:52:13,656 Iteration: 41. Energy -2.098334578266714.  Energy change 4.845e-04 , Iteration duration: 186.64595770835876 Params: [9.27429199e-05]
