INFO 2021-02-14 15:28:05,219 H2, r=1.546 ,UCCSD ansatz
INFO 2021-02-14 15:28:05,220 n_qubits = 4, n_electrons = 2
INFO 2021-02-14 15:28:05,328 QiskitSimBackend result is -0.8837280054803958
INFO 2021-02-14 15:28:06,487 QasmBackend result is -0.7359302596212001 for n_shots=1
INFO 2021-02-14 15:28:06,487 time used = 1.1579644680023193s
INFO 2021-02-14 15:28:07,730 QasmBackend result is -0.8965073432902236 for n_shots=5
INFO 2021-02-14 15:28:07,730 time used = 1.2428438663482666s
INFO 2021-02-14 15:28:08,861 QasmBackend result is -0.9207887006397332 for n_shots=10
INFO 2021-02-14 15:28:08,861 time used = 1.1306939125061035s
INFO 2021-02-14 15:28:09,902 QasmBackend result is -0.8154039804861302 for n_shots=50
INFO 2021-02-14 15:28:09,902 time used = 1.0409672260284424s
INFO 2021-02-14 15:28:11,038 QasmBackend result is -0.8853941868742802 for n_shots=100
INFO 2021-02-14 15:28:11,038 time used = 1.1355185508728027s
INFO 2021-02-14 15:28:12,071 QasmBackend result is -0.8712335632930833 for n_shots=200
INFO 2021-02-14 15:28:12,071 time used = 1.0331614017486572s
INFO 2021-02-14 15:28:13,208 QasmBackend result is -0.8911059237230183 for n_shots=500
INFO 2021-02-14 15:28:13,209 time used = 1.1373023986816406s
