INFO 2021-03-18 14:24:18,766 q_exc type, prob_2=0, time_cx=0, backend=<class 'scripts.zhenghao.noisy_backends.QasmBackend'>, n_shots=1000000.0, method =automatic, optimizer=Nelder-Mead
INFO 2021-03-18 14:24:18,767 Adaptive is False
INFO 2021-03-18 14:24:18,767 Length of q_exc based ansatz is 1
INFO 2021-03-18 14:24:18,767 Noise model = None
INFO 2021-03-18 14:24:18,767 Backend is <class 'scripts.zhenghao.noisy_backends.QasmBackend'>, n_shots=1000000.0, method=automatic
INFO 2021-03-18 14:24:18,769 -----Running VQE for: H4-----
-----Number of electrons: 4-----
-----Number of orbitals: 8-----
-----Numeber of ansatz elements: 1-----
-----Ansatz type d_q_exc_[2, 3]_[4, 5]------
-----Statevector and energy calculated using <class 'scripts.zhenghao.noisy_backends.QasmBackend'>------
-----Optimizer Nelder-Mead------

INFO 2021-03-18 16:19:27,751 Iteration: 35. Energy -2.1221985918150326.  Energy change 1.419e-04 , Iteration duration: 191.6182210445404 Params: [-0.16269531]
INFO 2021-03-18 16:22:39,384 Iteration: 36. Energy -2.122060757963665.  Energy change 1.378e-04 , Iteration duration: 191.38007164001465 Params: [-0.16269531]
INFO 2021-03-18 16:25:51,297 Iteration: 37. Energy -2.122107913439118.  Energy change -4.716e-05 , Iteration duration: 191.63186979293823 Params: [-0.16230469]
INFO 2021-03-18 16:29:02,833 Iteration: 38. Energy -2.122465981779956.  Energy change -3.581e-04 , Iteration duration: 191.91344952583313 Params: [-0.16240234]
INFO 2021-03-18 16:32:14,509 Iteration: 39. Energy -2.122006164933607.  Energy change 4.598e-04 , Iteration duration: 191.53566765785217 Params: [-0.16259766]
INFO 2021-03-18 16:35:26,293 Iteration: 40. Energy -2.122320425584971.  Energy change -3.143e-04 , Iteration duration: 191.67712116241455 Params: [-0.16245117]
INFO 2021-03-18 16:38:37,864 Iteration: 41. Energy -2.122379611106388.  Energy change -5.919e-05 , Iteration duration: 191.78286981582642 Params: [-0.16245117]
INFO 2021-03-18 16:41:49,695 Iteration: 42. Energy -2.1227375575190193.  Energy change -3.579e-04 , Iteration duration: 191.5713872909546 Params: [-0.16254883]
INFO 2021-03-18 16:45:02,036 Iteration: 43. Energy -2.1226782943519433.  Energy change 5.926e-05 , Iteration duration: 191.8309395313263 Params: [-0.16252441]
INFO 2021-03-18 16:48:14,738 Iteration: 44. Energy -2.122313021488672.  Energy change 3.653e-04 , Iteration duration: 192.3407804965973 Params: [-0.16247559]
INFO 2021-03-18 16:51:27,163 Iteration: 45. Energy -2.1222403525929634.  Energy change 7.267e-05 , Iteration duration: 192.7020161151886 Params: [-0.16252441]
INFO 2021-03-18 16:54:37,724 Iteration: 46. Energy -2.122582032470612.  Energy change -3.417e-04 , Iteration duration: 192.42631554603577 Params: [-0.16248779]
INFO 2021-03-18 16:57:50,069 Iteration: 47. Energy -2.12202316620004.  Energy change 5.589e-04 , Iteration duration: 190.5600609779358 Params: [-0.16251221]
INFO 2021-03-18 17:01:01,990 Iteration: 48. Energy -2.122083055669748.  Energy change -5.989e-05 , Iteration duration: 192.34484815597534 Params: [-0.1624939]
INFO 2021-03-18 17:04:12,507 Iteration: 49. Energy -2.122100266446886.  Energy change -1.721e-05 , Iteration duration: 191.92122197151184 Params: [-0.1624939]
INFO 2021-03-18 17:07:23,276 Iteration: 50. Energy -2.1219401163235903.  Energy change 1.602e-04 , Iteration duration: 190.51715207099915 Params: [-0.1625061]
INFO 2021-03-18 17:10:35,049 Iteration: 51. Energy -2.1220930912676144.  Energy change -1.530e-04 , Iteration duration: 190.76956391334534 Params: [-0.16249695]
INFO 2021-03-18 17:13:47,489 Iteration: 52. Energy -2.1228780288388807.  Energy change -7.849e-04 , Iteration duration: 191.77280163764954 Params: [-0.16249695]
INFO 2021-03-18 17:16:58,277 Iteration: 53. Energy -2.122129636967529.  Energy change 7.484e-04 , Iteration duration: 192.4398148059845 Params: [-0.1624939]
INFO 2021-03-18 17:20:09,794 Iteration: 54. Energy -2.122411954220977.  Energy change -2.823e-04 , Iteration duration: 190.78807544708252 Params: [-0.16249847]
INFO 2021-03-18 17:23:22,096 Iteration: 55. Energy -2.1222378312819528.  Energy change 1.741e-04 , Iteration duration: 191.51653957366943 Params: [-0.16249847]
INFO 2021-03-18 17:26:33,776 Iteration: 56. Energy -2.1226825505476197.  Energy change -4.447e-04 , Iteration duration: 192.3028905391693 Params: [-0.16249542]
INFO 2021-03-18 17:29:44,173 Iteration: 57. Energy -2.122395339352077.  Energy change 2.872e-04 , Iteration duration: 191.68023347854614 Params: [-0.16249619]
INFO 2021-03-18 17:32:55,734 Iteration: 58. Energy -2.1223163252627337.  Energy change 7.901e-05 , Iteration duration: 190.39653658866882 Params: [-0.16249771]
INFO 2021-03-18 17:36:06,787 Iteration: 59. Energy -2.122279512908631.  Energy change 3.681e-05 , Iteration duration: 191.5618724822998 Params: [-0.16249619]
INFO 2021-03-18 17:39:18,117 Iteration: 60. Energy -2.122416998417652.  Energy change -1.375e-04 , Iteration duration: 191.0525541305542 Params: [-0.16249733]
INFO 2021-03-18 17:42:29,622 Iteration: 61. Energy -2.1221968670049427.  Energy change 2.201e-04 , Iteration duration: 191.3293902873993 Params: [-0.16249657]
INFO 2021-03-18 17:45:40,292 Iteration: 62. Energy -2.122472123019975.  Energy change -2.753e-04 , Iteration duration: 191.50526428222656 Params: [-0.16249714]
INFO 2021-03-18 17:48:51,705 Iteration: 63. Energy -2.122043150577901.  Energy change 4.290e-04 , Iteration duration: 190.67066431045532 Params: [-0.16249676]
INFO 2021-03-18 17:52:11,888 Iteration: 64. Energy -2.1221248540725326.  Energy change -8.170e-05 , Iteration duration: 191.41408586502075 Params: [-0.16249704]
INFO 2021-03-18 17:55:41,319 Iteration: 65. Energy -2.122582721890197.  Energy change -4.579e-04 , Iteration duration: 200.1816120147705 Params: [-0.16249704]
INFO 2021-03-18 17:59:10,229 Iteration: 66. Energy -2.1228153489557497.  Energy change -2.326e-04 , Iteration duration: 209.43093085289001 Params: [-0.16249685]
INFO 2021-03-18 18:02:18,800 Iteration: 67. Energy -2.1225455713174632.  Energy change 2.698e-04 , Iteration duration: 208.9119861125946 Params: [-0.1624969]
INFO 2021-03-18 18:05:26,686 Iteration: 68. Energy -2.122720216534885.  Energy change -1.746e-04 , Iteration duration: 188.56885743141174 Params: [-0.162497]
INFO 2021-03-18 18:08:34,871 Iteration: 69. Energy -2.122607547924351.  Energy change 1.127e-04 , Iteration duration: 187.88763809204102 Params: [-0.1624969]
INFO 2021-03-18 18:11:42,981 Iteration: 70. Energy -2.122732501990917.  Energy change -1.250e-04 , Iteration duration: 188.1838059425354 Params: [-0.16249697]
INFO 2021-03-18 18:14:50,582 Iteration: 71. Energy -2.1226735992279435.  Energy change 5.890e-05 , Iteration duration: 188.111590385437 Params: [-0.16249692]
INFO 2021-03-18 18:17:58,235 Iteration: 72. Energy -2.1223358267868675.  Energy change 3.378e-04 , Iteration duration: 187.59967851638794 Params: [-0.16249696]
INFO 2021-03-18 18:21:05,930 Iteration: 73. Energy -2.122484383722063.  Energy change -1.486e-04 , Iteration duration: 187.65282249450684 Params: [-0.16249696]
INFO 2021-03-18 18:24:13,715 Iteration: 74. Energy -2.1219872563878175.  Energy change 4.971e-04 , Iteration duration: 187.69895553588867 Params: [-0.16249694]
INFO 2021-03-18 18:27:21,146 Iteration: 75. Energy -2.1220960602359096.  Energy change -1.088e-04 , Iteration duration: 187.78229928016663 Params: [-0.16249695]
INFO 2021-03-18 18:30:27,559 Iteration: 76. Energy -2.1229297141771024.  Energy change -8.337e-04 , Iteration duration: 187.4302728176117 Params: [-0.16249695]
INFO 2021-03-18 18:33:32,976 Iteration: 77. Energy -2.1222504039744123.  Energy change 6.793e-04 , Iteration duration: 186.41298985481262 Params: [-0.16249696]
INFO 2021-03-18 18:36:40,178 Iteration: 78. Energy -2.1226575126679594.  Energy change -4.071e-04 , Iteration duration: 185.41676545143127 Params: [-0.16249695]
INFO 2021-03-18 18:39:46,107 Iteration: 79. Energy -2.1220385693451416.  Energy change 6.189e-04 , Iteration duration: 187.20203495025635 Params: [-0.16249695]
INFO 2021-03-18 18:42:51,836 Iteration: 80. Energy -2.1221480802331194.  Energy change -1.095e-04 , Iteration duration: 185.92863774299622 Params: [-0.16249696]
INFO 2021-03-18 18:46:00,204 Iteration: 81. Energy -2.122196399812949.  Energy change -4.832e-05 , Iteration duration: 185.7296667098999 Params: [-0.16249696]
INFO 2021-03-18 18:49:07,532 Iteration: 82. Energy -2.122681158161236.  Energy change -4.848e-04 , Iteration duration: 188.36767292022705 Params: [-0.16249695]
INFO 2021-03-18 18:52:15,112 Iteration: 83. Energy -2.12212287039594.  Energy change 5.583e-04 , Iteration duration: 187.3279242515564 Params: [-0.16249695]
INFO 2021-03-18 18:55:22,799 Iteration: 84. Energy -2.122512923028393.  Energy change -3.901e-04 , Iteration duration: 187.58005023002625 Params: [-0.16249695]
INFO 2021-03-18 18:58:30,661 Iteration: 85. Energy -2.1221732539776963.  Energy change 3.397e-04 , Iteration duration: 187.68840527534485 Params: [-0.16249695]
INFO 2021-03-18 19:01:38,749 Iteration: 86. Energy -2.122453970218204.  Energy change -2.807e-04 , Iteration duration: 187.8604474067688 Params: [-0.16249695]
INFO 2021-03-18 19:04:49,919 Iteration: 87. Energy -2.122713520734201.  Energy change -2.596e-04 , Iteration duration: 188.088725566864 Params: [-0.16249695]
