INFO 2021-03-17 18:43:06,151 q_exc type, prob_2=1e-05, time_cx=0, backend=<class 'src.backends.QiskitSimBackend'>, n_shots=1000000.0, method =automatic, optimizer=Nelder-Mead
INFO 2021-03-17 18:43:06,152 Length of q_exc based ansatz is 3
INFO 2021-03-17 18:43:06,153 Noise model generated for prob_1 = 0, prob_2=1e-05, prob_meas=1e-05 time_single_gate=0, time_cx=0, time_meas=0, t1=50000.0, t2=50000.0. No coupling map.
INFO 2021-03-17 18:43:06,153 Backend is <class 'src.backends.QiskitSimBackend'>, n_shots=1000000.0, method=automatic
INFO 2021-03-17 18:43:06,155 -----Running VQE for: H4-----
-----Number of electrons: 4-----
-----Number of orbitals: 8-----
-----Numeber of ansatz elements: 3-----
-----Statevector and energy calculated using <class 'src.backends.QiskitSimBackend'>------
-----Optimizer Nelder-Mead------

INFO 2021-03-17 18:43:19,630 Iteration: 29. Energy -2.102556677855361.  Energy change -4.008e-04 , Iteration duration: 0.4132387638092041 Params: [-0.01848639 -0.00407005  0.00752313]
INFO 2021-03-17 18:43:19,999 Iteration: 30. Energy -2.1033317483285865.  Energy change -7.751e-04 , Iteration duration: 0.3652951717376709 Params: [-0.02241088 -0.00517871  0.00922197]
INFO 2021-03-17 18:43:20,349 Iteration: 31. Energy -2.1039353378206704.  Energy change -6.036e-04 , Iteration duration: 0.3687741756439209 Params: [-0.02547218 -0.00490122  0.00951511]
INFO 2021-03-17 18:43:20,696 Iteration: 32. Energy -2.104957668211267.  Energy change -1.022e-03 , Iteration duration: 0.34950947761535645 Params: [-0.03102937 -0.00586189  0.01137029]
INFO 2021-03-17 18:43:21,147 Iteration: 33. Energy -2.1054334622131945.  Energy change -4.758e-04 , Iteration duration: 0.3474736213684082 Params: [-0.03518049 -0.00670925  0.01386171]
INFO 2021-03-17 18:43:21,501 Iteration: 34. Energy -2.106541132481667.  Energy change -1.108e-03 , Iteration duration: 0.45071887969970703 Params: [-0.04295161 -0.00812184  0.01704564]
INFO 2021-03-17 18:43:21,947 Iteration: 35. Energy -2.107381042127489.  Energy change -8.399e-04 , Iteration duration: 0.3550529479980469 Params: [-0.04713006 -0.01004446  0.01842678]
INFO 2021-03-17 18:43:22,398 Iteration: 36. Energy -2.108672182415363.  Energy change -1.291e-03 , Iteration duration: 0.4466714859008789 Params: [-0.05712969 -0.01248245  0.02234733]
INFO 2021-03-17 18:43:22,845 Iteration: 37. Energy -2.10941867695115.  Energy change -7.465e-04 , Iteration duration: 0.45078349113464355 Params: [-0.06499624 -0.01246541  0.0246202 ]
INFO 2021-03-17 18:43:23,293 Iteration: 38. Energy -2.1105888467827927.  Energy change -1.170e-03 , Iteration duration: 0.44723081588745117 Params: [-0.07919135 -0.0148943   0.02975294]
INFO 2021-03-17 18:43:23,963 Iteration: 39. Energy -2.1108368358638074.  Energy change -2.480e-04 , Iteration duration: 0.44782280921936035 Params: [-0.08848574 -0.01780384  0.03472699]
INFO 2021-03-17 18:43:24,476 Iteration: 40. Energy -2.1111274695889635.  Energy change -2.906e-04 , Iteration duration: 0.670623779296875 Params: [-0.10763786 -0.0217845   0.04251255]
INFO 2021-03-17 18:43:24,896 Iteration: 41. Energy -2.111440743906259.  Energy change -3.133e-04 , Iteration duration: 0.5125787258148193 Params: [-0.11968765 -0.02465232  0.04602957]
INFO 2021-03-17 18:43:25,267 Iteration: 42. Energy -2.110198505931119.  Energy change 1.242e-03 , Iteration duration: 0.4190659523010254 Params: [-0.14526633 -0.03016248  0.05569088]
INFO 2021-03-17 18:43:25,614 Iteration: 43. Energy -2.1096798506226113.  Energy change 5.187e-04 , Iteration duration: 0.3713724613189697 Params: [-0.14721488 -0.02840497  0.05651605]
INFO 2021-03-17 18:43:25,965 Iteration: 44. Energy -2.1109253127775545.  Energy change -1.245e-03 , Iteration duration: 0.3470265865325928 Params: [-0.12844713 -0.02508778  0.04939757]
INFO 2021-03-17 18:43:26,422 Iteration: 45. Energy -2.1083316074027074.  Energy change 2.594e-03 , Iteration duration: 0.3510575294494629 Params: [-0.15799041 -0.03278876  0.06220685]
INFO 2021-03-17 18:43:26,774 Iteration: 46. Energy -2.1112942914049593.  Energy change -2.963e-03 , Iteration duration: 0.45697784423828125 Params: [-0.09560782 -0.01862231  0.03651417]
