INFO 2021-03-21 11:56:14,374 H4 molecule, investigate how the landscape should change with noise for first two ansatz elements of H4(r=1), 1000000.0 shots
INFO 2021-03-21 11:56:14,391 Ansatz is [<src.ansatz_elements.DQExc object at 0x7fa050579b50>, <src.ansatz_elements.DQExc object at 0x7fa04bee56d0>]
INFO 2021-03-21 11:56:14,392 Noise model generated for prob_1 = 0.01, prob_2=0.001, prob_meas=0.001 time_single_gate=0, time_cx=900, time_meas=0, t1=50000.0, t2=50000.0. No coupling map.
INFO 2021-03-21 11:56:14,392 xlim=0.25, ylim=0.1, pixel number = 25 x 10
INFO 2021-03-21 13:52:49,232 [-0.22916666666666666, -0.022222222222222227], qiskitsim_energy=-2.1248757763410837, qiskitsim_time=0.39984631538391113, noisy_energy=-1.554448719997522, noisy_time=256.3839933872223
INFO 2021-03-21 13:56:51,930 [-0.22916666666666666, -0.011111111111111113], qiskitsim_energy=-2.1225689379252626, qiskitsim_time=0.4459226131439209, noisy_energy=-1.552177662051268, noisy_time=242.24704241752625
INFO 2021-03-21 14:00:56,446 [-0.22916666666666666, 0.0], qiskitsim_energy=-2.119921942975274, qiskitsim_time=0.44126129150390625, noisy_energy=-1.5517810840024233, noisy_time=244.06960821151733
INFO 2021-03-21 14:04:59,906 [-0.21875, -0.1], qiskitsim_energy=-2.132065708915948, qiskitsim_time=0.41980671882629395, noisy_energy=-1.5545589572582685, noisy_time=243.03608965873718
INFO 2021-03-21 14:09:03,930 [-0.21875, -0.08888888888888889], qiskitsim_energy=-2.1321872278407112, qiskitsim_time=0.33446455001831055, noisy_energy=-1.5546555680448129, noisy_time=243.68500900268555
INFO 2021-03-21 14:13:07,676 [-0.21875, -0.07777777777777778], qiskitsim_energy=-2.1319647481212, qiskitsim_time=0.43231630325317383, noisy_energy=-1.5559348670596949, noisy_time=243.30898189544678
INFO 2021-03-21 14:17:12,492 [-0.21875, -0.06666666666666668], qiskitsim_energy=-2.131398137834876, qiskitsim_time=0.43224143981933594, noisy_energy=-1.5554534910625166, noisy_time=244.37861037254333
INFO 2021-03-21 14:21:13,982 [-0.21875, -0.05555555555555556], qiskitsim_energy=-2.1304874321151908, qiskitsim_time=0.43027281761169434, noisy_energy=-1.5556933032314413, noisy_time=241.05519151687622
INFO 2021-03-21 14:25:17,666 [-0.21875, -0.044444444444444446], qiskitsim_energy=-2.1292328331644605, qiskitsim_time=0.4466826915740967, noisy_energy=-1.5552084609093324, noisy_time=243.23407983779907
INFO 2021-03-21 14:29:21,285 [-0.21875, -0.03333333333333334], qiskitsim_energy=-2.127634710184556, qiskitsim_time=0.3506784439086914, noisy_energy=-1.5559044653544094, noisy_time=243.26429152488708
INFO 2021-03-21 14:33:27,585 [-0.21875, -0.022222222222222227], qiskitsim_energy=-2.125693599225501, qiskitsim_time=0.5310661792755127, noisy_energy=-1.5539145050579295, noisy_time=245.76433324813843
INFO 2021-03-21 14:37:31,714 [-0.21875, -0.011111111111111113], qiskitsim_energy=-2.123410202952011, qiskitsim_time=0.44342947006225586, noisy_energy=-1.5522914879056455, noisy_time=243.68037462234497
INFO 2021-03-21 14:41:35,062 [-0.21875, 0.0], qiskitsim_energy=-2.1207853903281046, qiskitsim_time=0.5430614948272705, noisy_energy=-1.5518720080587503, noisy_time=242.80154514312744
INFO 2021-03-21 14:45:37,834 [-0.20833333333333334, -0.1], qiskitsim_energy=-2.1325053628802615, qiskitsim_time=0.3485708236694336, noisy_energy=-1.5547845745914244, noisy_time=242.41864776611328
INFO 2021-03-21 14:49:41,517 [-0.20833333333333334, -0.08888888888888889], qiskitsim_energy=-2.132659219625265, qiskitsim_time=0.39548516273498535, noisy_energy=-1.555742916962259, noisy_time=243.28269171714783
INFO 2021-03-21 14:53:44,028 [-0.20833333333333334, -0.07777777777777778], qiskitsim_energy=-2.1324679070804815, qiskitsim_time=0.4318084716796875, noisy_energy=-1.5554166573764507, noisy_time=242.07578372955322
INFO 2021-03-21 14:57:47,818 [-0.20833333333333334, -0.06666666666666668], qiskitsim_energy=-2.1319312887539095, qiskitsim_time=0.3311583995819092, noisy_energy=-1.5557891365172436, noisy_time=243.4546287059784
INFO 2021-03-21 15:01:49,906 [-0.20833333333333334, -0.05555555555555556], qiskitsim_energy=-2.131049395918682, qiskitsim_time=0.3292829990386963, noisy_energy=-1.556155537716479, noisy_time=241.75466775894165
INFO 2021-03-21 15:05:52,485 [-0.20833333333333334, -0.044444444444444446], qiskitsim_energy=-2.1298224276264692, qiskitsim_time=0.3356282711029053, noisy_energy=-1.5564128360949163, noisy_time=242.23863792419434
INFO 2021-03-21 15:09:54,975 [-0.20833333333333334, -0.03333333333333334], qiskitsim_energy=-2.128250750638396, qiskitsim_time=0.43297672271728516, noisy_energy=-1.5553216964409047, noisy_time=242.05354070663452
INFO 2021-03-21 15:13:59,751 [-0.20833333333333334, -0.022222222222222227], qiskitsim_energy=-2.1263348992734223, qiskitsim_time=0.3296928405761719, noisy_energy=-1.554103654213408, noisy_time=244.44233012199402
INFO 2021-03-21 15:18:03,328 [-0.20833333333333334, -0.011111111111111113], qiskitsim_energy=-2.124075575174369, qiskitsim_time=0.3887763023376465, noisy_energy=-1.5536343783892137, noisy_time=243.1827368736267
INFO 2021-03-21 15:22:07,903 [-0.20833333333333334, 0.0], qiskitsim_energy=-2.121473646991607, qiskitsim_time=0.4569365978240967, noisy_energy=-1.5524561941559423, noisy_time=244.1130816936493
INFO 2021-03-21 15:26:12,326 [-0.19791666666666669, -0.1], qiskitsim_energy=-2.132765923641372, qiskitsim_time=0.44443416595458984, noisy_energy=-1.5551432601157649, noisy_time=243.9742510318756
INFO 2021-03-21 15:30:17,472 [-0.19791666666666669, -0.08888888888888889], qiskitsim_energy=-2.13295222599078, qiskitsim_time=0.44238805770874023, noisy_energy=-1.5562233718055827, noisy_time=244.69915962219238
INFO 2021-03-21 15:34:21,249 [-0.19791666666666669, -0.07777777777777778], qiskitsim_energy=-2.1327922616615824, qiskitsim_time=0.4318082332611084, noisy_energy=-1.5553599108773888, noisy_time=243.34160614013672
INFO 2021-03-21 15:38:25,911 [-0.19791666666666669, -0.06666666666666668], qiskitsim_energy=-2.132285889603156, qiskitsim_time=0.3517296314239502, noisy_energy=-1.5554004936415584, noisy_time=244.30570673942566
INFO 2021-03-21 15:42:30,737 [-0.19791666666666669, -0.05555555555555556], qiskitsim_energy=-2.131433137204163, qiskitsim_time=0.3500537872314453, noisy_energy=-1.5555605634171026, noisy_time=244.47192335128784
INFO 2021-03-21 15:46:36,212 [-0.19791666666666669, -0.044444444444444446], qiskitsim_energy=-2.130234200306513, qiskitsim_time=0.3989987373352051, noisy_energy=-1.5553503821471053, noisy_time=245.0715367794037
INFO 2021-03-21 15:50:39,151 [-0.19791666666666669, -0.03333333333333334], qiskitsim_energy=-2.128689443136463, qiskitsim_time=0.33221936225891113, noisy_energy=-1.5560300161327862, noisy_time=242.602441072464
INFO 2021-03-21 15:54:43,936 [-0.19791666666666669, -0.022222222222222227], qiskitsim_energy=-2.1267993981528828, qiskitsim_time=0.4447054862976074, noisy_energy=-1.554251567806857, noisy_time=244.33706140518188
INFO 2021-03-21 15:58:47,860 [-0.19791666666666669, -0.011111111111111113], qiskitsim_energy=-2.124564765812763, qiskitsim_time=0.3385472297668457, noisy_energy=-1.5538359439138802, noisy_time=243.5805332660675
INFO 2021-03-21 16:02:51,127 [-0.19791666666666669, 0.0], qiskitsim_energy=-2.12198641425408, qiskitsim_time=0.3291745185852051, noisy_energy=-1.5521374699169623, noisy_time=242.9340364933014
INFO 2021-03-21 16:06:56,663 [-0.1875, -0.1], qiskitsim_energy=-2.132847278112758, qiskitsim_time=0.4421236515045166, noisy_energy=-1.5545730545333745, noisy_time=245.0890920162201
INFO 2021-03-21 16:10:59,520 [-0.1875, -0.08888888888888889], qiskitsim_energy=-2.133066119768952, qiskitsim_time=0.3287839889526367, noisy_energy=-1.556941426194766, noisy_time=242.52407431602478
INFO 2021-03-21 16:15:01,098 [-0.1875, -0.07777777777777778], qiskitsim_energy=-2.13293767109069, qiskitsim_time=0.35211730003356934, noisy_energy=-1.5562690665408623, noisy_time=241.2215747833252
INFO 2021-03-21 16:19:05,634 [-0.1875, -0.06666666666666668], qiskitsim_energy=-2.1324617864815596, qiskitsim_time=0.4435713291168213, noisy_energy=-1.5562642385839063, noisy_time=244.08911776542664
INFO 2021-03-21 16:23:10,438 [-0.1875, -0.05555555555555556], qiskitsim_energy=-2.131638489423282, qiskitsim_time=0.34993791580200195, noisy_energy=-1.556391280657022, noisy_time=244.44899797439575
INFO 2021-03-21 16:27:15,992 [-0.1875, -0.044444444444444446], qiskitsim_energy=-2.1304679724902704, qiskitsim_time=0.55708909034729, noisy_energy=-1.555350121529142, noisy_time=244.99246454238892
INFO 2021-03-21 16:31:19,564 [-0.1875, -0.03333333333333334], qiskitsim_energy=-2.128950597280913, qiskitsim_time=0.34444475173950195, noisy_energy=-1.5567613922387054, noisy_time=243.2236933708191
