INFO 2021-03-28 10:49:22,871 H4 molecule, investigate how the landscape should change with noise for first two ansatz elements of H4(r=1), 1000000.0 shots
INFO 2021-03-28 10:49:22,885 Ansatz is [<src.ansatz_elements.DQExc object at 0x7fc6480cae50>, <src.ansatz_elements.DQExc object at 0x7fc6480da510>]
INFO 2021-03-28 10:49:22,885 Noise model generated for prob_1 = 0, prob_2=0.0001, prob_meas=0.0001 time_single_gate=0, time_cx=10, time_meas=0, t1=50000.0, t2=50000.0. No coupling map.
INFO 2021-03-28 10:49:22,886 xlim=0.25, ylim=0.1, pixel number = 25 x 10
INFO 2021-03-28 12:26:36,114 [-0.22916666666666666, -0.022222222222222227], qiskitsim_energy=-2.1248757763410837, qiskitsim_time=0.3292558193206787, noisy_energy=-2.116127681260784, noisy_time=208.54360246658325
INFO 2021-03-28 12:30:02,444 [-0.22916666666666666, -0.011111111111111113], qiskitsim_energy=-2.1225689379252626, qiskitsim_time=0.3510138988494873, noisy_energy=-2.113803629003987, noisy_time=205.97485494613647
INFO 2021-03-28 12:33:29,463 [-0.22916666666666666, 0.0], qiskitsim_energy=-2.119921942975274, qiskitsim_time=0.32805299758911133, noisy_energy=-2.110628272857364, noisy_time=206.68609285354614
INFO 2021-03-28 12:37:04,334 [-0.21875, -0.1], qiskitsim_energy=-2.132065708915948, qiskitsim_time=0.4282872676849365, noisy_energy=-2.1229272438801456, noisy_time=214.4382677078247
INFO 2021-03-28 12:40:30,326 [-0.21875, -0.08888888888888889], qiskitsim_energy=-2.1321872278407112, qiskitsim_time=0.4357156753540039, noisy_energy=-2.122149450558086, noisy_time=205.55224895477295
INFO 2021-03-28 12:43:56,897 [-0.21875, -0.07777777777777778], qiskitsim_energy=-2.1319647481212, qiskitsim_time=0.3506901264190674, noisy_energy=-2.1223118118226, noisy_time=206.21552300453186
INFO 2021-03-28 12:47:20,102 [-0.21875, -0.06666666666666668], qiskitsim_energy=-2.131398137834876, qiskitsim_time=0.43444275856018066, noisy_energy=-2.1229523554220364, noisy_time=202.7657904624939
INFO 2021-03-28 12:50:45,018 [-0.21875, -0.05555555555555556], qiskitsim_energy=-2.1304874321151908, qiskitsim_time=0.34808802604675293, noisy_energy=-2.1207325961242445, noisy_time=204.5638234615326
INFO 2021-03-28 12:54:10,954 [-0.21875, -0.044444444444444446], qiskitsim_energy=-2.1292328331644605, qiskitsim_time=0.3314065933227539, noisy_energy=-2.120237497240801, noisy_time=205.59999108314514
INFO 2021-03-28 12:57:36,687 [-0.21875, -0.03333333333333334], qiskitsim_energy=-2.127634710184556, qiskitsim_time=0.44864773750305176, noisy_energy=-2.1185171472012843, noisy_time=205.27948594093323
