INFO 2021-03-10 21:08:58,944 Calculating excitation generators
DEBUG 2021-03-10 21:08:58,944 Automatically increasing RLIMIT_NOFILE to max value of 524288
INFO 2021-03-10 21:09:05,376 -----Running VQE for: H4-----
-----Number of electrons: 4-----
-----Number of orbitals: 8-----
-----Numeber of ansatz elements: 616-----
-----Statevector and energy calculated using <class 'src.backends.MatrixCacheBackend'>------
-----Optimizer BFGS------

INFO 2021-03-10 21:09:11,933 Iteration: 37. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.1692945957183838
INFO 2021-03-10 21:09:12,102 Iteration: 38. Energy -2.0949541598299017.  Energy change -4.441e-16 , Iteration dutation: 0.16898751258850098
INFO 2021-03-10 21:09:12,271 Iteration: 39. Energy -2.0949541598299017.  Energy change 0.000e+00 , Iteration dutation: 0.16815590858459473
INFO 2021-03-10 21:09:12,440 Iteration: 40. Energy -2.0949541598299017.  Energy change 0.000e+00 , Iteration dutation: 0.16962909698486328
INFO 2021-03-10 21:09:12,608 Iteration: 41. Energy -2.0949541598299017.  Energy change 0.000e+00 , Iteration dutation: 0.16855072975158691
INFO 2021-03-10 21:09:12,778 Iteration: 42. Energy -2.0949541598299013.  Energy change 4.441e-16 , Iteration dutation: 0.16863179206848145
INFO 2021-03-10 21:09:12,947 Iteration: 43. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16972589492797852
INFO 2021-03-10 21:09:13,115 Iteration: 44. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16885638236999512
INFO 2021-03-10 21:09:13,285 Iteration: 45. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16811394691467285
INFO 2021-03-10 21:09:13,455 Iteration: 46. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.17025327682495117
INFO 2021-03-10 21:09:13,623 Iteration: 47. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16956090927124023
INFO 2021-03-10 21:09:13,792 Iteration: 48. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16824817657470703
INFO 2021-03-10 21:09:13,961 Iteration: 49. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16893911361694336
INFO 2021-03-10 21:09:14,129 Iteration: 50. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16851449012756348
INFO 2021-03-10 21:09:14,299 Iteration: 51. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16861844062805176
INFO 2021-03-10 21:09:14,468 Iteration: 52. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.1697859764099121
INFO 2021-03-10 21:09:14,637 Iteration: 53. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16901135444641113
INFO 2021-03-10 21:09:14,807 Iteration: 54. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16910338401794434
